,id,sen,lab
113,1380,"This exercise programme in cancer patients with 2-3 weekly supervised sessions over three months was well feasible and demonstrated measurable improvement of oxygen consumption, body composition and quality of life.",2
114,763,The proposed treatment is not less effective compared with the McDonald's trial.,2
115,756,They were also associated with lower frequencies of postoperative vomiting.,2
116,1301,"The present study demonstrated that the addition of inspiratory muscle training, even when applied for a short period, may potentiate the effects of combined aerobic and resistance training, becoming a simple and inexpensive strategy for patients who underwent coronary artery bypass and are in phase II cardiac rehabilitation.",2
118,1331,The laser marker placement device appeared to be a reliable method to place markers on a tape at previously palpated positions and ensures an exact position.,2
119,1316,The test-based approach to the management of malaria did not increase the incidence of malaria or anaemia among under-five children in this setting.,2
120,1238,These findings support a role of CYP2C19 genotype in the efficacy of this treatment.,2
121,1299,This indicates variability in the ability to use real-time augmented feedback effectively.,2
122,664,"The significant improvement of clinical conditions was shown by the end of the treatment course using both clinical assessments and HAMD-17, CGI-S, CGI-I and MMSE scores in both groups.",2
124,736,"Chinese massage therapy decreased pain and may improve extensor muscle strength in patients with knee OA, but does not appear to improve ROM.",2
127,725,Self-management education could effectively improve the symptoms of primary dysmenorrhea and quality of life.,2
132,1382,The results provide first evidence that variable light can be used to optimize the conditions in child and adolescent psychiatry in order to support the therapeutic success.,2
134,1390,"Meanwhile, it also could improve their blood pressure and QOL.",2
135,748,Biventricular patients with an ostial stenosis had a higher probability of a successful outcome.,2
137,1266,"This methodology may be useful for diagnosing, directing treatment, and judging prognosis of alcoholic cardiac damage.",2
138,1233,"The efficiency of CHOP regimen containing PLD for the aged patients with advanced DLBCL has been confirmed to be significant, and its cardiac toxicity is low, thus being worth to be popularized and applied for the treatment of advanced diffuse large B-cell lymphoma.",2
141,1276,"Its clinical effect is better than NPWT or porcine ADM dressing alone, and this method may be suitable for patients with non-surgical treatment.",2
142,1249,Laser assisted hatching with quarter technique improves pregnancy and implantation rates in poor prognosis patients.,2
145,705,"Acupuncture therapy can effectively reduce the visceral fat content, being better than simple health education.",2
146,1342,Adjuvant rosuvastatin treatment in patients diagnosed of DVT improve CRP levels and diminish PTS incidence.,2
147,1285,The CMP used in the study have showed a trend to significant SSI risk reduction and may be recommended to maximize patient protection.,2
153,1194,"JXT could improve heart function of CHD patients to different degrees, and its curative effect was better than that of routine Western medicine (Simvastatin Tablets) treatment.",2
154,694,Andrew's manoeuvre (four-hands CC) during the simulated DA-CPR significantly improved the performance of elderly female rescuers and helped them to achieve the recommended CC depth.,2
155,1274,Using 14% Plai cream over a 7-day period substantially reduced muscle soreness symptoms compared to 7% Plai cream or a placebo cream.,2
159,518,The acupuncture at the acupoints selected from the affected meridians based on the location differentiation and the heavy moxibustion at painful points are safe and effective in the treatment of fibromyalgia syndrome and present the better persistent effect as compared with the combined medication of tramadol sustained release tablets and amitriptyline.,2
160,1343,A high response rate was obtained and tolerability was good.,2
161,691,"Compared with the traditional method, small incision puncture tracheostomy is less time consuming, with fewer traumas, and fewer intraoperative and postoperative complications.",2
163,1251,The analgesia method of ACM could reduce the dosage of traditional analgesic drugs and the occurrence of partial adverse reactions.,2
164,555,SMT C1100 was well tolerated in pediatric DMD patients.,2
166,1265,Both EA and meloxicam are effective in the treatment of KOA at the early and middle stage.,2
167,1234,The PHC Cage is similar to the PEEK Cage and has good clinical outcome in short-term follow-up.,2
168,1260,"All three bitopertin treated groups showed improvements in all the efficacy endpoints for both of the two symptoms, i.e., ""negative symptoms"" and ""sub-optimally controlled symptoms"", throughout the duration of the study.",2
170,567,This study shows for the first time the beneficial effect of memantine to prevent post-mastectomy pain development and to diminish chemotherapy-induced pain symptoms.,2
172,771,"Compared with DICE regimen combined with rituximab, GDP regimen combined with rituximab in treatment of elderly patients with relapsed and refractory diffuse large B cell lymphoma can efficiently reduce tumor loading, prolong the disease-free survival time, improve the long-term clinical prognosis, and not aggravate the side effects of drugs.",2
173,599,The present findings indicate that topiramate is effective and safe and thus reinforce previous data suggesting that topiramate is a potentially useful treatment for crack cocaine dependence.,2
174,542,Combined aerobic and stretching exercises brought about significant therapeutic effects on selected cardiopulmonary parameters in female BC survivors.,2
175,1364,"Conducting CBP in the early stage of severe burn is safe and feasible, which does not obviously affect the vital signs, volumes of fluid input and urine output, or platelet count of patients, additionally, it could help protect the function of vital organs, eliminate stress hyperglycemia, and reduce infection rate.",2
176,1416,"MSBD combined with CAG program in treating elderly AML patients with YDTSS, with efficacy enhancing toxicity reducing effect, had distinct advantages in improving physical condition and clinical symptoms, and reducing transfusion dependency.",2
178,761,Nebulized budesonide is an effective and safe alternative to SGCS in treating an exacerbation of COPD.,2
180,1303,SIPsmartER is an effective intervention to decrease SSB consumption among adults and is promising for translation into practice settings.,2
183,616,Computer-tailored feedback could be a cost-effective way to target alcohol use and binge drinking among adolescents.,2
184,1307,This study provides modest evidence that rTMS to the l-DLPFC transiently reduces core symptoms of AN and encourages prudent decision making.,2
185,633,"In a nationally representative sample of couples, the OurRelationship program was effective in significantly improving both relationship and individual functioning, suggesting it can substantially increase the reach of current interventions through its low-cost, Web-based format.",2
188,629,A program to motivate students to act as change agents of family's lifestyle was effective in decreasing weight and increasing physical activity of their mothers.,2
189,1272,Biliary CEACAM6 can identify patients with extrahepatic cholangiocarcinoma with a high degree of sensitivity and should be investigated further as a potential screening tool.,2
193,1213,"Consequently, Metformin and acupuncture combined therapy is more effective than Metformin only, proving that acupuncture is an insulin sensitizer and is able to improve insulin sensitivity possibly by reducing body weight and inflammation, while improving lipid metabolism and adipokines.",2
197,1371,The therapy presents the long-term clinical effect and deserves to be promoted in clinical practice.,2
198,500,"XFC could elevate clinical efficacy of AS patients and enhance their autophagy, which might be achieved by acting on PI3K/Akt/mTOR signal, affecting autophagy gene and autophagy protein expression, taking part in the regulation of proliferation and differentiation of lymphocyte B, and strengthen humoral immunity.",2
199,1218,The authors suggest that the administration of 14% Plai cream is a useful alternative in the management of DOMS.,2
200,521,"At the same anaesthetic depth, the CIIA method outperforms the TIVA method in suppressing the stress response and obtaining smooth awakening after laparoscopic radical gastrectomy for patients with gastric cancer; therefore, the CIIA method has a better anaesthetic effect.",2
201,1263,The combination of INS and Oxymet provides additional benefit compared to INS monotherapy in relieving nasal congestion in subjects with chronic rhinitis and allergic rhinitis without developing rhinitis medicamentosa.,2
203,634,"TEAS can efficiently prevent orthodontic toothache and oral dysfunction, which is superior to psychological intervention and similar to medication.",2
204,693,"Administration of piroxicam after IUI is associated with decreased number of cycles, as well as increased pregnancy rate and pregnancy rate per cycle in IUI cycles.",2
205,573,Exercise and DHA supplementation acted synergistically by increasing plasma PGE2 with anti-inflammatory effects.,2
207,714,"131I-chTNT radioimmunotherapy with PMCT has a complementary effect in NSCLC, which can effectively improve therapeutic ratio and survival of patients effectively and has the same effect as that of post-operative adjuvant chemoradiation.",2
208,686,Patients treated with melatonin-containing emulsion experienced significantly reduced radiation dermatitis compared to patients receiving placebo.,2
209,1409,Administering interventions via the Internet to older adults is feasible.,2
211,1215,Anticholinergic medication use was associated with increased risk for recurrent falls.,2
213,525,Application of PRP showed a positive effect on AGA and could be regarded as an adjuvant therapy for AGA.,2
214,1206,"For Chinese glomerulonephritis patients with stage 2 chronic kidney disease, therapy with A & As particles may provide effective anti-proteinuria treatment.",2
215,1196,"Among ambulatory adults aged 75 years or older, treating to an SBP target of less than 120 mm Hg compared with an SBP target of less than 140 mm Hg resulted in significantly lower rates of fatal and nonfatal major cardiovascular events and death from any cause.",2
217,566,The results show that platelet rich plasma provided better results from the perspective of pain control and effect duration.,2
219,1297,Oral Ramosetron 0.1 mg was more effective than placebo in PONV prevention and reduced the incidence of moderate to severe nausea after intrathecal morphine in the first 24 hour after gynecological surgery.,2
220,759,"SM could effectively promote and accelerate cleaning and mucosal epithelization of functional endoscopic sinus surgery, and significantly promote mucosal ciliary structure and function recovery of ostium-meatus nasicomplex.",2
222,598,"Sodium bicarbonate combined with ulinastatin can improve the therapeutic effect and reduce complications in the treatment of acute phoxim pesticide poisoning, and have beneficial effects on the recovery of cholinesterase activity.",2
223,1235,Polymorphisms in CYP3A5 and ABCB1 may define a subset of patients with different cabazitaxel toxicity and efficacy and therefore could be used as markers for treatment optimization.,2
224,742,"Among critically ill patients with an ICU length of stay of 72 hours or longer, a conservative protocol for oxygen therapy vs conventional therapy resulted in lower ICU mortality.",2
226,787,Conjunctival TE rates can be effectively reduced by lid warming treatment in some MGD patients.,2
227,630,Rucaparib is well tolerated and results in high levels of PARP inhibition in surrogate tissues even at the lowest dose levels.,2
228,537,The pemetrexed-carboplatin combination was effective and well-tolerated in patients with EGFR-wild-type non-squamous NSCLC (UMIN-CTR number: UMIN000003393).,2
231,563,The results indicate that RKB evening meal has an anti-diabetic potential and that the increased release of satiety hormones and improvements of appetite sensation could be beneficial in preventing obesity.,2
232,510,High-flow conditioned oxygen therapy may offer advantages for these patients.,2
234,1289,The individualized lung cancer modeling can facilitate the evaluation of preoperative risks and allows for more accurate surgical planning.,2
235,1338,"All of the RM methods can effectively improve oxygenation and pulmonary compliance of the children with complication of ARDS, and they complement the inadequacy of lung protective ventilation.",2
238,666,EA improves effectively the quality of life in MUI patients and the clinical efficacy is apparent.,2
239,642,In this pilot study the combined interventions have shown to be effective in clinical primary care for the treatment of ODD and beneficial for the children and their families.,2
243,1217,"Radiofrequency hyperthermia combined conformal radiotherapy is remarkably effective in treating patients with HCC, which could effectively reduce the damages of radiotherapy to the liver, enhance the patient' s tolerability and improve the patients' short and long term survival.",2
244,590,ALIF shows a tendency to faster pain relief and return to activity with less intraoperative blood requirement in low grade isthmic spondylolisthesis.,2
245,533,"The results obtained indicate that the adjuvant treatment of psychosocial day care programme has a positive effect on treatment outcomes: on the increase of the patients' quality of life, and, to some extent, on the decrease of symptom intensity in positive symptoms in schizophrenia spectrum.",2
246,711,Our NPD is better than standard wound care procedures and cost-effective for management of PU.,2
250,1231,"In the conservative treatment, mifepristone can safely improve the hormone levels, reduce the thickness of the endometrium, alleviate symptoms.",2
251,628,"It is safe, convenient and practicable to perform budesonide treatment in middle meatus following ESS, which can significantly ease the post-operative discomfort of nose.",2
252,639,"ZZYCR could improve the clinical efficacy of NASH patients, and its mechanism might be associated with inhibiting serum levels of FFA and TNF-alpha.",2
253,1349,"An accurate, fast and simple screening method of Y chromosome AZF microdeletions by capillary technology has been established, which may have an important clinical value.",2
258,769,"By contrast, HIS+LV pacing yielded improvements, regardless of AVD setting.",2
259,1195,"For type Crowe II developmental dysplasia of hip patients, 15Â° face-changing acetabular cups in THR could obtain higher actebular component coverage rate and satisfactory early clinical effects.",2
260,1315,"The association of GlcN-S and mud-bath therapy has a positive and safe role in improving pain, function and quality of life in knee OA patients.",2
263,570,"The sedative effects of dexmedetomidine in the ICU patients treated with ventilator bundle treatment are satisfactory, and it can shorten the duration of mechanical ventilation, extubation time and length of ICU stay, reduce the incidence of delirium.",2
271,638,"The real-world data showed that daptomycin was effective and safe in the treatment of various Gram-positive infections, including those caused by resistant pathogens, across wide geographical regions.",2
273,541,Tramadol appears to be consistently well tolerated following i.v.,2
274,1252,Integration of BMI control with vision-guided robotic assistance led to improved performance on object transfer tasks.,2
275,676,Scalp acupuncture could attenuate central nervous system lesion and improve POCD of elderly patients undergoing hip replacement.,2
276,1278,The results presented support further development of the C. difficile vaccine candidate in a larger population of subjects to determine the optimal dose and immunization schedule.,2
277,1407,These findings suggest that MBSR may be an effective treatment option for patients with chronic low back pain.,2
279,703,"Obtained ahnost the same satisfactory radiological outcomes after patella resurfacing and retention groups after total knee replacement allows us to conclude that, primary TKA without patella resurfacing is a good treatment option in patients with high grade osteoarthritis of the patellofemoral joint.",2
283,1244,"Acupuncture stimulation of SP 6 has an immediate analgesic effect in PD women with cold damp stagnation syndrome, which was not affected by needling-induced sharp pain, deqi-expectation, and thicker or thinner needle with shallow and deeper insertion.",2
284,721,"Our data suggest that among patients with pretransplantation minimal residual disease, the probability of overall survival after receipt of a transplant from a cord-blood donor was at least as favorable as that after receipt of a transplant from an HLA-matched unrelated donor and was significantly higher than the probability after receipt of a transplant from an HLA-mismatched unrelated donor.",2
285,702,The hierarchical strategy based on the combination of embryo cleavage patterns and timing parameters is effective for selecting the optimal embryo.,2
286,558,"Penetration acupuncture at the acupoints of GV and bladder meridian on head can remarkablely improve the cognitive function of the patients with mild cognitive disorder after stroke,and have some efficacy of relieving the bad mood such as depression.",2
287,585,A combination of PS and continuous inhalation of budesonide aerosol has a better efficacy in the treatment of NRDS than a combination of PS and budesonide solution.,2
288,550,Overnight closed-loop therapy resulted in better glucose control than sensor-augmented pump therapy in pregnant women with type 1 diabetes.,2
292,1239,Neither sevoflurane nor propofol had any significant impact on the occurrence of postoperative complications.,2
293,1404,Chinese medicine fumigation and massage therapy can early improve the knee function after the anterior cruciate ligament reconstruction operation without the disturbance of the knee stability.,2
297,516,We concluded that high-dose (4 g) MO leaf powder capsules significantly increased insulin secretion in healthy subjects.,2
298,1320,"The decoction prepared with of Nicotiana tabacum leaves, used as mouthwash are well-tolerated and safe, and can be used for the management of recurrent aphthous.",2
299,754,"Scalp acupuncture treatment can improve the ACI patients' clinical symptoms, probably by reducing ACl induced inflammatory reactions.",2
301,1326,"In patients undergoing MCA intravascular stent implantation for ischemic stroke, perioperative intensive statin therapy improves the patients' outcomes, reduces the levels of CRP, VCAM-1 and sCD147 molecules, and lowers the incidences of cerebrovascular events.",2
305,770,"For multiple ligament injuries in the knee, staged repair and reconstruction can effectively restore knee joint stability and function.",2
307,501,"This therapy provides a valuable tool to accomplish a rapid decrease in vertigo spells in subjects with Meniere's disease, and it is considered an alternative to chemical or surgical labyrinthectomy.",2
308,1388,Using the Tegadarm comfort film dressing with aron alpha A [Sankyo] could be an effective fixation method in the continuous femoral nerve block.,2
310,635,An immune response was observed after primary immunization with Ad26.ZEBOV; boosting by MVA-BN-Filo resulted in sustained elevation of specific immunity.,2
312,1370,"The current findings suggest that the concomitant use of PPIs, when clinically indicated, in patients receiving clopidogrel is not associated with adverse clinical outcome.",2
313,1295,"Based on the theory of dislocation of bone joints in TCM, three kinds of spinal rotation manipulations can be used safely for the treatment of lumbar disc herniation, and the efficacy was similar.",2
314,612,"TCM clinical outcomes rating scale for HF based on patients' report had good reliability, validity and responsiveness, hence it could be used to assess clinical efficacy for HF patients.",2
317,774,"Compared with PB, TPM showed a better effect on epilepsy treatment with less adverse reactions which were worthy of clinical recommendation.",2
318,746,We demonstrated for the first time that AVP values could improve after successful treatment in STEMI patients.,2
321,522,"The moxa salt packets combined with tropisetron hydrochloride can effectively reduce the cisplatin chemotherapy-induced nausea and vomiting as well as the occurrence rate of delayed-type vomiting, and improve the constipation, which is superior to single use of tropisetron hydrochloride.",2
324,1211,"T II A could reduce the incidence of OlPN, which might be associated with inhibiting the expression of CGRP and up-regulating NGF activities.",2
325,1397,The results suggest that aroma foot massage may be an easy and effective way to improve mental health and blood pressure.,2
326,1280,These data support safety and efficacy of TAVR in select very elderly patients.,2
328,549,"Among postmenopausal women with osteoporosis, the use of subcutaneous abaloparatide, compared with placebo, reduced the risk of new vertebral and nonvertebral fractures over 18 months.",2
329,1253,"With regards to the primary aim of this study, there were overall high levels of satisfaction with the intervention, indicating good feasibility and acceptance among patients.",2
332,1355,Dust mite drops sublingual immunotherapy is effective for the allergic rhinitis children caused by mites.,2
333,786,"Targeted therapy combined with chemotherapy for the primary central nervous system lymphoma can improve the patients' outcomes, reduce adverse effects, and improve the quality of life and survival rate.",2
334,1281,A systematic intervention model resulted in partial improvements in LBP care.,2
336,644,There is better patient-proxy agreement for the EQ-5D-3L compared with the ICECAP-O among individuals with mild VCI.,2
337,1394,"Under the premise that mouse cannot be used directly during surgery, gesture-controlled approaches demonstrate to be superior to oral instructions for image manipulation.",2
339,789,"Single-dose preoperative dexamethasone 8 mg 60-90 minute before induction of anesthesia improved clinical outcome in terms of significantly less nausea, vomiting, pain at first 6 hours and less inflammatory response after laparoscopic cholecystectomy compared to placebo.",2
340,1225,"Results of this study suggest that the impact of PA on depressive symptoms varies by genotype and sex, and that PA may mitigate somatic symptoms of depression more than other symptoms.",2
341,674,HE's fire needle therapy is effective on primary varicose veins.,2
343,750,"DDM reduces postoperative pain severity, hospital stay and disability period.",2
350,1294,"Using RCT on participatory basis, SMBG with individual dietary counseling was effective in short term.",2
351,1293,This supports investigation into the potential use of nasal high flow therapy as treatment in viral upper respiratory tract infections.,2
354,1339,Floating needle therapy and duloxetine were effective in treatment of patients with PSPD.,2
358,1415,The acupoint implantation reduces VAS score in the patients of migraine and its clinical efficacy is better than that in the EA group.,2
359,1229,"However, IVR-based interventions may be the optimal choice for those with elevated LDL values at baseline.",2
361,577,"The low lactose milk powder could improve the therapeutic effectively and could reduce the duration of disease, and restored to normal diet for 2 weeks feeding time.",2
364,654,"The effect of oblique insertion at anatomical points for sacroiliac joint injury is superior to that of conventional acupuncture, which can effectively relieve pain and improve the disfunction.",2
365,708,"Nasal endoscope negative pressure cleaning and sinupret drops can significantly reduce the long-term incidence of RNS, especially obviously reduce the incidence of moderate to severe RNS,which is a practical and effective method to treat RNS.",2
367,1305,"Conical stone needle on foot combined with Sian anvil at Yintang(GV 29) treating insomnia is safe and effective,and this treatment acquires similar efficacy with less suffering.",2
369,713,"In patients with active RA, tofacitinib, either in combination with methotrexate or as monotherapy, demonstrated rapid and sustained improvement in pain, physical functioning and health-related quality of life.",2
