,id,sen,lab,umls
43,333,evid is insuffici to show the effect of relax techniqu a treatment for menopaus vasomotor symptom  or to determin whether this treatment is more effect than no treatment  placebo  acupunctur  superfici needl insert or pace respir ,1,evid is insuffici to show the effect of relax techniqu a treatment for menopaus vasomotor symptom  or to determin whether this treatment is more effect than no treatment  placebo  acupunctur  superfici needl insert or pace respir 
44,394,current avail evid weak support the infer that testosteron use in men is not associ with import cardiovascular effect ,1,current avail evid weak support the infer that testosteron use in men is not associ with import cardiovascular effect 
45,624,futur rcts are plan to evalu the clinic efficaci of the digit intervent ,1,futur rcts are plan DSYN to evalu the clinic efficaci of the digit intervent 
46,201,person with h  pylorus infect and nonulc dyspepsia  gastric ulcer  or gastric hyperplast polyp are also at risk  but those with duoden ulcer are not ,1,person with h  pylorus infect DSYN and nonulc dyspepsia  gastric ulcer PATF  or gastric hyperplast PATF polyp ANAB are also at risk  but those with duoden ulcer PATF are not 
47,561,although ec is wide use a a method of quit smoke  it ha negat effect on the sinonas symptom and mcc ,0,although ec is wide use a a method of quit smoke  it ha negat effect on the sinonas symptom and mcc 
48,273,there wa limit evid from randomis control trial regard the use of oestrogen for the prevent and manag of pelvic organ prolaps ,1,there wa limit evid from randomis control trial regard the use of oestrogen for the prevent and manag of pelvic organ prolaps ANAB 
49,1343,a high respons rate wa obtain and toler wa good ,2,a high respons rate wa obtain and toler PATF wa good 
50,353,counsel and pharmacotherapi can promot modest sustain weight loss  improv clinic outcom ,2,counsel and pharmacotherapi can promot modest sustain weight loss  improv clinic outcom 
51,1327,ccd increas good qualiti embryo rate by down regul the express of ro protein in ovarian granulosa cell  and correct in vivo oxid stress ,2,ccd increas good qualiti embryo rate by down regul the express of ro protein in ovarian granulosa cell  and correct in vivo oxid stress 
52,204,use of the qhpv vaccin reduc the rate of anal intraepitheli neoplasia  includ of grade digit or digit  among men who have sex with men ,2,use of the qhpv vaccin reduc the rate of anal intraepitheli neoplasia NEOP  includ of grade digit or digit  among men who have sex with men 
53,165,the trial doe not indic an effect of daili digit mg oral dhea on fatigu and well be  and therefor dhea treatment is not recommend in unselect femal patient with quiescent sle ,0,the trial doe not indic an effect of daili digit mg oral dhea on fatigu and well be  and therefor dhea treatment is not recommend in unselect femal patient with quiescent sle DSYN 
54,1406,further research is need to determin how to sustain the substanti initi benefit ,1,further research is need to determin how to sustain the substanti initi benefit 
55,58,we found that soy isoflavon intak could lower the risk of breast cancer for both pre  and post menopaus woman in asian countri ,2,we found that soy isoflavon intak could lower the risk of breast cancer NEOP for both pre  and post menopaus woman in asian countri 
56,209,in child follow up to digit digit year  pcv provid a moder amount of protect against ear infect while reduc frequent otiti medium and tube procedur by greater amount ,2,in child follow up to digit digit year  pcv provid a moder amount of protect against ear infect DSYN while reduc frequent otiti DSYN medium and tube procedur by greater amount 
57,198,it is current unclear if this is the case both for peopl with normal folat level  and for those with folat defici ,1,it is current unclear if this is the case both for peopl with normal folat level  and for those with folat defici DSYN 
58,139,no signific effect of chromium on lipid or glucos metabol wa found in peopl without diabet ,1,no signific effect of chromium on lipid or glucos metabol wa found in peopl without diabet DSYN 
59,1260,all three bitopertin treat group show improv in all the efficaci endpoint for both of the two symptom  i e    negat symptom  and  sub optim control symptom   throughout the durat of the studi ,2,all three bitopertin treat group show improv in all the efficaci endpoint for both of the two symptom  i e    negat symptom  and  sub optim control symptom   throughout the durat of the studi 
60,288,methacholin respons and peak flow variabl assess at age digit  togeth with marker of atopi  ige and skin test reactiv to allergen  identifi three differ wheez phenotyp in childhood   transient earli wheez  limit to the first three year of life and unrel to increas airway labil   non atop wheez  of the toddler and earli school year associ with posit peak flow variabl but not with methacholin hyperrespons  and  ige associ wheez asthma  associ with persist wheez at ani age and with methacholin hyperrespons  peak flow variabl  and marker of atopi ,1,methacholin respons and peak flow variabl assess at age digit  togeth with marker of atopi PATF  ige and skin test reactiv to allergen  identifi three differ wheez phenotyp in childhood   transient earli wheez  limit to the first three year of life and unrel to increas airway labil   non atop wheez  of the toddler and earli school year associ with posit peak flow variabl but not with methacholin hyperrespons  and  ige associ wheez asthma DSYN  associ with persist wheez at ani age and with methacholin hyperrespons  peak flow variabl  and marker of atopi PATF 
61,178,for the first time  the long term efficaci of caiapo on glucos control wa demonstr by the observ decreas in hba digitc  ,2,for the first time  the long term efficaci of caiapo on glucos control wa demonstr by the observ decreas in hba digitc  
62,202,there is insuffici evid to support the use of herbal medicin in hiv infect individu and aid patient ,1,there is insuffici evid to support the use of herbal medicin in hiv VIRS infect DSYN individu and aid DSYN patient 
63,591,there is a trend toward improv local tumor control and progress free surviv with proton beam ,2,there is a trend toward improv local tumor NEOP control and progress PATF free surviv with proton beam 
64,252,our result indic that onli a small proport of child with sever alopecia areata will obtain a persist benefit from topic immunotherapi ,2,our result indic that onli a small proport of child with sever alopecia areata will obtain a persist benefit from topic immunotherapi 
65,147,befor treatment  exercis systol bp wa digit     digit mm hg  mean     sd  in the digit patient random to losartan and digit     digit mm hg in the digit patient who receiv hctz ,1,befor treatment  exercis systol bp wa digit     digit mm hg  mean     sd  in the digit patient random to losartan and digit     digit mm hg in the digit patient who receiv hctz 
66,1401,the most signific predictor of crossov to iabc in the set of anterior stemi wa relat hypotens at the time of hospit admiss  and crossov to iabc in crisp ami wa associ with signific wors clinic outcom ,0,the most signific predictor of crossov to iabc in the set of anterior stemi wa relat hypotens PATF at the time of hospit admiss  and crossov to iabc in crisp ami wa associ with signific wors clinic outcom 
67,216,episod high dose inhal corticosteroid provid a partial effect strategi for the treatment of mild episod viral wheez of childhood ,2,episod high dose inhal corticosteroid provid a partial effect strategi for the treatment of mild episod viral wheez of childhood 
68,346,in this trial of appar healthi person without hyperlipidemia but with elev high sensit c reactiv protein level  rosuvastatin signific reduc the incid of major cardiovascular event ,2,in this trial of appar healthi person without hyperlipidemia DSYN but with elev high sensit c reactiv protein level  rosuvastatin signific reduc the incid of major cardiovascular event 
69,1267,more long term studi are thus warrant ,1,more long term studi are thus warrant 
70,1304,dose depend increas in appendicular lean bodi mass and decreas in fat mass were observ  although this studi did not achiev the threshold of it primari object ,1,dose depend increas in appendicular lean bodi mass and decreas in fat mass were observ  although this studi did not achiev the threshold of it primari object 
71,135,these find indic that adhd is associ with signific educ and occup underattain relat to what would have been expect on the basi of intellectu potenti ,1,these find indic that adhd MOBD is associ with signific educ and occup underattain relat to what would have been expect on the basi of intellectu potenti 
72,603,the diagnosi of trs by fish wa high sensit and enabl genet confirm of the patholog diagnosi ,1,the diagnosi of trs CGAB by fish wa high sensit and enabl genet confirm of the patholog diagnosi 
73,111,older age  lower tobacco exposur  and lower lung function were the predictor of success in quit smoke ,1,older age  lower tobacco exposur INPO  and lower lung function were the predictor of success in quit smoke 
74,1318,the effect of arm in the prevent of sever epithel in patient with hnc treat with rt is  at least  a effect  or more effect  a other and more common skin treatment ,2,the effect of arm in the prevent of sever epithel DSYN in patient with hnc treat with rt is  at least  a effect  or more effect  a other and more common skin treatment 
75,588,sit decreas the express of gm csf and il digit and reduc the inflammatori reaction in the tissu sampl of recurr nasal polyp ,2,sit decreas the express of gm csf and il digit and reduc the inflammatori reaction in the tissu sampl of recurr PATF nasal polyp ANAB 
76,146,this suggest that the mechan under bhr in this clinic set may be differ from that in symptomat asthma ,1,this suggest that the mechan under bhr in this clinic set may be differ from that in symptomat asthma DSYN 
77,698,further research is need to understand the clinic import of rd  the risk and benefit of abaloparatid treatment  and the efficaci of abaloparatid v other osteoporosi treatment ,1,further research is need to understand the clinic import of rd  the risk and benefit of abaloparatid treatment  and the efficaci of abaloparatid v other osteoporosi DSYN treatment 
78,330,reduct of posterior pelvic pain by a non elast pelvic support wa experienc by digit  of the woman with posterior pelvic pain ,2,reduct of posterior pelvic pain by a non elast pelvic support wa experienc by digit  of the woman with posterior pelvic pain 
79,675,this studi show no effect ,0,this studi show no effect 
80,19,it remark lower total cholesterol  tc   triglycerid  tg   and low densiti lipoprotein cholesterol  ldl c  a compar with the placebo or inositol nicotin group  which wa similar to statin group ,2,it remark lower total cholesterol  tc   triglycerid  tg   and low densiti lipoprotein cholesterol  ldl c  a compar with the placebo or inositol nicotin group  which wa similar to statin group 
81,281,oc user carri an ascertain brcadigit digit mutat have a reduc risk of ovarian cancer  proport to the durat of use ,2,oc user carri an ascertain brcadigit digit mutat COMD have a reduc risk of ovarian cancer NEOP  proport to the durat of use 
82,298,recommend digit  opioid may be consid in the treatment of chronic lbp but should be avoid if possibl  strength  weak  ,0,recommend digit  opioid may be consid in the treatment of chronic lbp but should be avoid if possibl  strength  weak  
83,372,simpl smoke cessat advic combin with spirometr test result in good digit year cessat rate  especi in subject with airway obstruct ,2,simpl smoke cessat advic combin with spirometr test result in good digit year cessat rate  especi in subject with airway obstruct PATF 
84,260,methylprednisolon inject for ct have signific benefit in reliev symptom at digit week and reduc the rate of surgeri digit year after treatment  but digit out of digit patient had surgeri within digit year ,1,methylprednisolon inject for ct have signific benefit in reliev symptom at digit week and reduc the rate of surgeri digit year after treatment  but digit out of digit patient had surgeri within digit year 
85,327,this random  control trial ha clear shown that tongu tie can affect feed and that divis is safe  success and improv feed for mother and babi signific better than the intens skill support of a lactat consult ,2,this random  control trial ha clear shown that tongu tie can affect feed and that divis is safe  success and improv feed for mother and babi signific better than the intens skill support of a lactat consult 
86,185,evid wa insuffici to show whether exercis is an effect treatment for vasomotor menopaus symptom ,1,evid wa insuffici to show whether exercis is an effect treatment for vasomotor menopaus symptom 
87,723,a a result  electro acupunctur  ea  might be use in control the ongo epidem in obes and tdigitdm ,2,a a result  electro acupunctur  ea  might be use in control the ongo epidem in obes DSYN and tdigitdm 
88,745,longitudin studi are need to verifi the long term effect of this approach ,1,longitudin studi are need to verifi the long term effect of this approach 
89,1389,ndigit stage repres an independ prognost factor and n ratio >digit  wa a predict factor for o and dfs ,1,ndigit stage repres an independ prognost factor and n ratio >digit  wa a predict factor for o and dfs 
90,705,acupunctur therapi can effect reduc the viscer fat content  be better than simpl health educ ,2,acupunctur therapi can effect reduc the viscer fat content  be better than simpl health educ 
91,18,xuezhikang show signific benefit on the incid of all caus death  chd death  myocardi infarct  and revascular a compar with placebo base on convent treatment for chd ,2,xuezhikang show signific benefit on the incid of all caus death  chd death  myocardi infarct PATF  and revascular a compar with placebo base on convent treatment for chd 
92,555,smt cdigit wa well toler in pediatr dmd patient ,2,smt cdigit wa well toler PATF in pediatr dmd patient 
93,354,pharmacotherapi appear safe in the short term  long term safeti ha not been a strong establish ,2,pharmacotherapi appear safe in the short term  long term safeti ha not been a strong establish 
94,9,these find  togeth with persist low lung function  suggest that outcom in adult asthma may be determin primarili in earli childhood ,1,these find  togeth with persist low lung function  suggest that outcom in adult asthma DSYN may be determin primarili in earli childhood 
95,328,red yeast rice and therapeut lifestyl chang decreas ldl cholesterol level without increas cpk or pain level and may be a treatment option for dyslipidem patient who cannot toler statin therapi ,2,red yeast rice and therapeut lifestyl chang decreas ldl cholesterol level without increas cpk or pain level and may be a treatment option for dyslipidem DSYN patient who cannot toler PATF statin therapi 
96,761,nebul budesonid is an effect and safe altern to sgcs in treat an exacerb of copd ,2,nebul budesonid is an effect and safe altern to sgcs in treat an exacerb of copd DSYN 
97,98,this studi indic that azithromycin is at least a effect a doxycyclin in the treatment of rosacea ,2,this studi indic that azithromycin is at least a effect a doxycyclin in the treatment of rosacea DSYN 
98,181,quadrival hpv vaccin prevent infect with hpv digit  digit  digit  and digit and the develop of relat extern genit lesion in male digit to digit year of age ,2,quadrival hpv VIRS vaccin prevent infect DSYN with hpv VIRS digit  digit  digit  and digit and the develop of relat extern genit lesion in male digit to digit year of age 
99,151,in conclus  in patient with diastol dysfunct and hypertens respons to exercis  digit month of losartan and hctz blunt systol bp dure exercis ,1,in conclus  in patient with diastol dysfunct and hypertens DSYN respons to exercis  digit month of losartan and hctz blunt systol bp dure exercis 
100,521,at the same anaesthet depth  the ciia method outperform the tiva method in suppress the stress respons and obtain smooth awaken after laparoscop radic gastrectomi for patient with gastric cancer  therefor  the ciia method ha a better anaesthet effect ,2,at the same anaesthet depth  the ciia method outperform the tiva method in suppress PATF the stress respons and obtain smooth awaken after laparoscop radic gastrectomi for patient with gastric cancer NEOP  therefor  the ciia method ha a better anaesthet effect 
101,1382,the result provid first evid that variabl light can be use to optim the condit in child and adolesc psychiatri in order to support the therapeut success ,2,the result provid first evid that variabl light can be use to optim the condit DSYN in child and adolesc psychiatri in order to support the therapeut success 
102,41,ankyloglossia is a relat common find in the newborn popul and repres a signific proport of breastfeed problem ,1,ankyloglossia CGAB is a relat common find in the newborn popul and repres a signific proport of breastfeed problem 
103,640,among patient with digit to digit brain metastasi  the use of sr alon  compar with sr combin with wbrt  result in le cognit deterior at digit month ,2,among patient with digit to digit brain metastasi NEOP  the use of sr alon  compar with sr combin with wbrt  result in le cognit deterior at digit month 
104,1303,sipsmart is an effect intervent to decreas ssb consumpt among adult and is promis for translat into practic set ,2,sipsmart is an effect intervent to decreas ssb consumpt among adult and is promis for translat into practic set 
105,760,it can be postul that avp ha strong correl with the inflammatori marker ,1,it can be postul that avp ha strong correl with the inflammatori marker 
106,6,there is a real  immedi improv in breastfeed  detect by the mother  which is sustain and doe not appear to be due to a placebo effect ,1,there is a real  immedi improv in breastfeed  detect by the mother  which is sustain and doe not appear to be due to a placebo effect 
107,180,this should provid convinc evid for those seek a frenotomi for infant with signfic ankyloglossia ,1,this should provid convinc evid for those seek a frenotomi for infant with signfic ankyloglossia CGAB 
108,685,howev  new strategi to improv implement of intervent should be creat ,1,howev  new strategi to improv implement of intervent should be creat 
109,169,twice daili sd doxycyclin treatment signific reduc the number of inflammatori and noninflammatori lesion in patient with moder facial acn  wa well toler  had no detect antimicrobi effect on the skin flora  and did not result in ani increas in the number or sever of resist organ ,2,twice daili sd doxycyclin treatment signific reduc the number of inflammatori and noninflammatori lesion in patient with moder facial acn DSYN  wa well toler PATF  had no detect antimicrobi effect on the skin flora  and did not result in ani increas in the number or sever of resist organ 
110,348,sinc same is a natur occur compound with relat few side effect  it is a potenti import treatment for depress ,2,sinc same is a natur occur compound with relat few side effect  it is a potenti import treatment for depress MOBD 
111,50,evid also suggest that bupropion is le effect than vareniclin  but further research is need to confirm this find ,0,evid also suggest that bupropion is le effect than vareniclin  but further research is need to confirm this find 
112,650,woman in start and support report postpartum improv in mood and stress  and the experi of fewer depress symptom and le perceiv stress wa relat to sustain abstin ,1,woman in start and support report postpartum improv in mood and stress  and the experi of fewer depress MOBD symptom and le perceiv stress wa relat to sustain abstin 
113,91,the combin of curcumin and quercetin appear to reduc the number and size of ileal and rectal adenoma in patient with fap without appreci toxic ,2,the combin of curcumin and quercetin appear to reduc the number and size of ileal and rectal adenoma NEOP in patient with fap without appreci toxic INPO 
114,311,we assess the long term prognosi of these patient accord to prescript of an ace inhibitor at discharg ,1,we assess the long term prognosi of these patient accord to prescript of an ace inhibitor at discharg 
115,567,this studi show for the first time the benefici effect of memantin to prevent post mastectomi pain develop and to diminish chemotherapi induc pain symptom ,2,this studi show for the first time the benefici effect of memantin to prevent post mastectomi pain develop and to diminish chemotherapi induc pain symptom 
116,162,the system lupus erythematosus self manag cours had effect in reduc fatigu and depress and improv cope skill and self efficaci ,2,the system lupus DSYN erythematosus self manag cours had effect in reduc fatigu and depress MOBD and improv cope skill and self efficaci 
117,756,they were also associ with lower frequenc of postop vomit ,2,they were also associ with lower frequenc of postop vomit 
118,173,this control studi show signific short term efficaci of carbamazepin for agit with general good safeti and toler ,2,this control studi show signific short term efficaci of carbamazepin for agit with general good safeti and toler PATF 
119,303,it is like that inclus of subgroup factor in futur rcts will provid inform need to improv the strength and specif of futur clinic recommend ,1,it is like that inclus of subgroup VIRS factor in futur rcts will provid inform need to improv the strength and specif of futur clinic recommend 
120,395,patient and clinician need larg random trial of men at risk for cardiovascular diseas to better inform the safeti of long term testosteron use ,1,patient and clinician need larg random trial of men at risk for cardiovascular diseas DSYN to better inform the safeti of long term testosteron use 
121,617,the dynam of this improv differ both between cognit domain and the time point assess ,1,the dynam of this improv differ both between cognit domain and the time point assess 
122,693,administr of piroxicam after iui is associ with decreas number of cycl  a well a increas pregnanc rate and pregnanc rate per cycl in iui cycl ,2,administr of piroxicam after iui is associ with decreas number of cycl  a well a increas pregnanc rate and pregnanc rate per cycl in iui cycl 
123,64,onc daili dose of aza digit  gel wa well accept by patient and can offer consider dose flexibl and conveni for the patient a well a for the dermatologist ,2,onc daili dose of aza digit  gel wa well accept by patient and can offer consider dose flexibl and conveni for the patient a well a for the dermatologist 
124,365,this studi wa design to evalu the effect of the antioxid flavonoid silymarin in improv long term and postprandi glycem and weight control in type digit diabet patient treat with glibenclamid ,1,this studi wa design to evalu the effect of the antioxid flavonoid silymarin in improv long term and postprandi glycem and weight control in type digit diabet DSYN patient treat with glibenclamid 
125,1359,addit of the uc msc treatment to the standard therapi could help to improv liver function in patient with hbv dlc ,1,addit of the uc msc treatment to the standard therapi could help to improv liver function in patient with hbv dlc 
126,83,the result of this studi demonstr that intak of digit  digit  or digit g of cinnamon per day reduc serum glucos  triglycerid  ldl cholesterol  and total cholesterol in peopl with type digit diabet and suggest that the inclus of cinnamon in the diet of peopl with type digit diabet will reduc risk factor associ with diabet and cardiovascular diseas ,2,the result of this studi demonstr that intak of digit  digit  or digit g of cinnamon per day reduc serum glucos  triglycerid  ldl cholesterol  and total cholesterol in peopl with type digit diabet DSYN and suggest that the inclus of cinnamon in the diet of peopl with type digit diabet DSYN will reduc risk factor associ with diabet DSYN and cardiovascular diseas DSYN 
127,518,the acupunctur at the acupoint select from the affect meridian base on the locat differenti and the heavi moxibust at pain point are safe and effect in the treatment of fibromyalgia syndrom and present the better persist effect a compar with the combin medic of tramadol sustain releas tablet and amitriptylin ,2,the acupunctur at the acupoint select from the affect meridian base on the locat differenti and the heavi moxibust at pain point are safe and effect in the treatment of fibromyalgia DSYN syndrom DSYN and present the better persist effect a compar with the combin medic of tramadol sustain releas tablet and amitriptylin 
128,695,trial and refer prepar are bioequival under fast and fed state ,1,trial and refer prepar are bioequival under fast and fed DSYN state 
