id,sen,nums
166,"At all doses studied, febuxostat more effectively lowered and maintained serum urate levels <6.0 mg/dl than did allopurinol (300 or 100 mg) or placebo in subjects with hyperuricemia and gout, including those with mild to moderately impaired renal function.",0
167,"When incorporated into a habitual diet, consumption of test foods with a decreased GL does not ameliorate metabolic risk markers in overweight subjects.",1
168,Trial evidence that examines the effects of n-3 PUFAs on depressed mood is limited and is difficult to summarize and evaluate because of considerable heterogeneity.,1
169,"Twice-daily SD doxycycline treatment significantly reduced the number of inflammatory and noninflammatory lesions in patients with moderate facial acne, was well tolerated, had no detectable antimicrobial effect on the skin flora, and did not result in any increase in the number or severity of resistant organisms.",0
170,The present analysis provides an estimate of the average treatment effects of testosterone therapy in middle-aged men.,0
171,"Our findings are sufficiently strong to justify further interventional studies focused on alternative targets of androgenic treatment carrying more stringent clinical implications, in particular the cardiovascular, metabolic and neurological systems.",1
172,Ibuprofen is as or more efficacious than acetaminophen for the treatment of pain and fever in adult and pediatric populations and is equally safe.,1
173,This controlled study showed significant short-term efficacy of carbamazepine for agitation with generally good safety and tolerability.,0
174,"Among patients with chronic gout, elevated serum uric acid level, and allopurinol intolerance or refractoriness, the use of pegloticase 8 mg either every 2 weeks or every 4 weeks for 6 months resulted in lower uric acid levels compared with placebo.",1
175,Oral dexamethasone in a dose of 0.15 mg/kg is effective in reducing return to medical care with ongoing croup in children with mild croup.,0
176,Dilute alcohol injection is a safe and effective treatment option for patients with Morton's neuroma who want to avoid a surgical procedure and any associated complications.,0
177,This study confirms the beneficial effects of Caiapo on plasma glucose as well as cholesterol levels in patients with type 2 diabetes.,0
178,"For the first time, the long-term efficacy of Caiapo on glucose control was demonstrated by the observed decrease in HbA(1c).",1
179,"We demonstrated immediate improvement in nipple-pain and breastfeeding scores, despite a placebo effect on nipple pain.",1
180,This should provide convincing evidence for those seeking a frenotomy for infants with signficant ankyloglossia.,0
181,"Quadrivalent HPV vaccine prevents infection with HPV-6, 11, 16, and 18 and the development of related external genital lesions in males 16 to 26 years of age.",1
182,Elevated troponin level after acute stroke is common and is associated with ECG changes suggestive of myocardial ischemia and increased risk of death.,0
183,Administration of fluoroquinolones emerged as the most important risk factor for CDAD in Quebec during an epidemic caused by a hypervirulent strain of C. difficile.,0
184,Estrogen replacement therapy in doses used to control climacteric symptoms does not alter the incidence or intensity of nocturnal periodic limb movements.,0
185,Evidence was insufficient to show whether exercise is an effective treatment for vasomotor menopausal symptoms.,2
186,Evidence was insufficient to show the relative effectiveness of exercise when compared with HT or yoga.,0
187,"The temporal distribution of PLMs, as well as the coupling of PLMs with the phase position of circadian temperature curve, suggest an involvement of the circadian timing system in the pathophysiology of PLMD.",0
188,Locomotor activity in animals clearly exhibits a circadian pattern and can be strongly influenced by exogenous melatonin.,0
189,"More specifically, we hypothesize that the mode of action of melatonin in the presented PLMD patients might have been an increase of output-amplitude of the circadian timing system, thereby enhancing the circadian rhythmicity of locomotor activity with a reduction of sleep motor activity.",0
190,Children with asthma reported by their parents in 1968 were more likely than not to be free of symptoms as adults.,0
191,"The subjects who had more severe asthma (especially if it developed after the age of 2 and was associated with reduced expiratory flow), were female, or had parents who had asthma were at an increased risk of having asthma as an adult.",1
192,"These findings have implications for the treatment and prognosis of childhood asthma, targeting preventive and educational strategies and understanding the onset of asthma in adult life.",1
193,These findings support the use of appropriately prescribed graded aerobic exercise in the management of patients with fatigue and systemic lupus erythematosus.,1
194,"Febuxostat, at a daily dose of 80 mg or 120 mg, was more effective than allopurinol at the commonly used fixed daily dose of 300 mg in lowering serum urate.",0
195,"While GTN appears to offer short-term benefits up to 6 months in the treatment of lateral epicondylosis, at 5 years there does not appear to be significant clinical benefits when compared with patients undertaking a standard tendon rehabilitation programme alone.",0
196,This is in contrast to findings of continued benefits at long-term follow-up described in the literature for patients with Achilles tendinopathy treated with GTN.,0
197,The limited available evidence suggests folate may have a potential role as a supplement to other treatment for depression.,0
198,"It is currently unclear if this is the case both for people with normal folate levels, and for those with folate deficiency.",0
199,"Long-term mortality follow-up showed that patients with dyslipidemia benefited from beginning treatment with gemfibrozil early, especially if their dyslipidemia entailed factors related to the metabolic syndrome.",1
200,"Those with histologic findings of severe gastric atrophy, corpus-predominant gastritis, or intestinal metaplasia are at increased risk.",0
201,"Persons with H. pylori infection and nonulcer dyspepsia, gastric ulcers, or gastric hyperplastic polyps are also at risk, but those with duodenal ulcers are not.",1
202,There is insufficient evidence to support the use of herbal medicines in HIV-infected individuals and AIDS patients.,0
203,Women wishing to use combined OC can be reassured that their decision is unlikely to place them at higher risk of developing cancer.,0
204,"Use of the qHPV vaccine reduced the rates of anal intraepithelial neoplasia, including of grade 2 or 3, among men who have sex with men.",0
205,Increasing levels of pharmacologic acid suppression are associated with increased risks of nosocomial C difficile infection.,0
206,This evidence of a dose-response effect provides further support for the potentially causal nature of iatrogenic acid suppression in the development of nosocomial C difficile infection.,1
207,Infected women can be reassured that the maximum possible risk of a congenital abnormality due to B19 is under 1% and that long term development will be normal.,0
208,"We speculate that ankyloglossia plays a significant role in early breast-feeding difficulties, and that frenotomy is an effective therapy for these difficulties.",0
209,"In children followed up to 3.5 years, PCV provided a moderate amount of protection against ear infections while reducing frequent otitis media and tube procedures by greater amounts.",0
210,The combination of low-dose spironolactone with metformin seems superior to either drug alone in terms of clinical benefits and compliance in women with PCOS.,0
211,"Elevated levels of inflammatory markers, particularly C-reactive protein, indicate an increased risk of coronary heart disease.",0
212,"Although plasma lipid levels were more strongly associated with an increased risk than were inflammatory markers, the level of C-reactive protein remained a significant contributor to the prediction of coronary heart disease.",0
213,Daily ingestion of 8 ounces of yogurt containing Lactobacillus acidophilus decreased both candidal colonization and infection.,1
214,Heterogeneity in study design needs to be addressed in future research in order to test the efficacy of this intervention.,0
215,International cough guidelines recommend that a trial of ICS should only be considered in patients after thorough evaluation including chest X-ray and consideration of spirometry and other appropriate investigations.,0
216,Episodic high dose inhaled corticosteroids provide a partially effective strategy for the treatment of mild episodic viral wheeze of childhood.,0
217,There is no current evidence to favour maintenance low dose inhaled corticosteroids in the prevention and management of episodic mild viral induced wheeze.,0
218,"Among patients who have recently had an acute coronary syndrome, an intensive lipid-lowering statin regimen provides greater protection against death or major cardiovascular events than does a standard regimen.",0
219,These findings indicate that such patients benefit from early and continued lowering of LDL cholesterol to levels substantially below current target levels.,1
220,Pulsed dosing with terbinafine did not provide any clear safety advantages and was significantly less effective.,1
221,"Consequently, continuous treatment with terbinafine tablets remains the optimal therapy for onychomycosis.",0
222,"We found no RCTs on the use of diphencyprone, dinitrochlorobenzene, intralesional corticosteroids or dithranol although they are commonly used for the treatment of alopecia areata.",0
223,"Similarly although topical steroids and minoxidil are widely prescribed and appear to be safe, there is no convincing evidence that they are beneficial in the long-term.",0
224,Most trials have been reported poorly and are so small that any important clinical benefits are inconclusive.,0
225,There is a desperate need for large well conducted studies that evaluate long-term effects of therapies on quality of life.,0
226,"Considering the possibility of spontaneous remission especially for those in the early stages of the disease, the options of not being treated therapeutically or, depending on individual preference wearing a wig may be alternative ways of dealing with this condition.",1
227,"Until new data become available, it appears sound to offer preventive measures (vitamin D or calcium) to groups of high risk, like infants and toddlers; children living in Africa, Asia or the Middle East or migrated children from these regions into areas where rickets is not frequent.",1
228,"Due to a marked clinical heterogeneity and the scarcity of data, the main and adverse effects of preventive measures against nutritional rickets should be investigated in different countries, different age groups and in children of different ethnic origin.",0
229,Evidence suggests that breastfeeding interventions are more effective than usual care in increasing short- and long-term breastfeeding rates.,0
230,Combined pre- and postnatal interventions and inclusion of lay support in a multicomponent intervention may be beneficial.,0
231,Electronic fetal monitoring is associated with increased rates of surgical intervention and decreased perinatal mortality due to fetal hypoxia.,0
232,Involuntary smoke exposure is associated with increased asthma severity and worsened lung function in a nationally representative group of US children with asthma.,0
233,Irbesartan did not improve the outcomes of patients with heart failure and a preserved left ventricular ejection fraction.,1
234,Keloids and hypertrophic scars present a major therapeutic dilemma to the dermatologist because of frequent recurrences.,1
235,A better understanding of keloid pathogenesis may lead to improved therapies by which keloid growth and regrowth may be obviated.,0
236,"Although optimal treatment for keloids remains undefined, successful treatment can be obtained through a multimodality approach.",0
