id,neg_bin,effected_words,neg_word,sen_negation,lab,sen,sen_tag,sen_tag_negation
1396,1,"[u'ulcer', u'finger']",not,among patient with system sclerosi and activ ischem digit ulcer  treatment with macitentan did NEGATION reduc new digit ulcer over digit week ,0,among patient with system sclerosi and activ ischem digit ulcer  treatment with macitentan did not reduc new digit ulcer over digit week ,among patient with system sclerosi and activ ischem digit ulcer_NEG  treatment with macitentan did not reduc new digit ulcer_NEG over digit week ,among patient with system sclerosi and activ ischem digit ulcer_NEG  treatment with macitentan did NEGATION reduc new digit ulcer_NEG over digit week 
34,1,"[u'anxieti', u'disord', u'adhd']",not,the result do NEGATION support a relationship between childhood adhd and adult mood or anxieti disord ,1,the result do not support a relationship between childhood adhd and adult mood or anxieti disord ,the result do not support a relationship between childhood adhd_NEG and adult mood or anxieti_NEG disord_NEG ,the result do NEGATION support a relationship between childhood adhd_NEG and adult mood or anxieti_NEG disord_NEG 
568,1,[u'epistaxi'],not,in patient with hht  a bevacizumab nasal spray treatment of digit administr at digit day interv with dos of digit mg  digit mg  or digit mg per spray  compar with a placebo  did NEGATION reduc month epistaxi durat in the digit consecut month immedi after the end of treatment ,0,in patient with hht  a bevacizumab nasal spray treatment of digit administr at digit day interv with dos of digit mg  digit mg  or digit mg per spray  compar with a placebo  did not reduc month epistaxi durat in the digit consecut month immedi after the end of treatment ,in patient with hht  a bevacizumab nasal spray treatment of digit administr at digit day interv with dos of digit mg  digit mg  or digit mg per spray  compar with a placebo  did not reduc month epistaxi_NEG durat in the digit consecut month immedi after the end of treatment ,in patient with hht  a bevacizumab nasal spray treatment of digit administr at digit day interv with dos of digit mg  digit mg  or digit mg per spray  compar with a placebo  did NEGATION reduc month epistaxi_NEG durat in the digit consecut month immedi after the end of treatment 
360,1,[u'issu'],not,data are NEGATION avail address other key issu includ the effect of screen in primari care set  role of enhanc surveil by primari care physician befor referr for diagnost evalu  non speech and languag and long term benefit of intervent  and advers effect of screen and intervent ,1,data are not avail address other key issu includ the effect of screen in primari care set  role of enhanc surveil by primari care physician befor referr for diagnost evalu  non speech and languag and long term benefit of intervent  and advers effect of screen and intervent ,data are not avail address other key issu_NEG includ the effect of screen in primari care set  role of enhanc surveil by primari care physician befor referr for diagnost evalu  non speech and languag and long term benefit of intervent  and advers effect of screen and intervent ,data are NEGATION avail address other key issu_NEG includ the effect of screen in primari care set  role of enhanc surveil by primari care physician befor referr for diagnost evalu  non speech and languag and long term benefit of intervent  and advers effect of screen and intervent 
76,1,"[u'pressur', u'blood', u'elev']",not,at the present time  evid from random trial doe NEGATION support blood pressur target lower than the standard target in peopl with elev blood pressur and diabet ,1,at the present time  evid from random trial doe not support blood pressur target lower than the standard target in peopl with elev blood pressur and diabet ,at the present time  evid from random trial doe not support blood_NEG pressur_NEG target lower than the standard target in peopl with elev_NEG blood_NEG pressur_NEG and diabet ,at the present time  evid from random trial doe NEGATION support blood_NEG pressur_NEG target lower than the standard target in peopl with elev_NEG blood_NEG pressur_NEG and diabet 
37,1,"[u'affect', u'lesion', u'sign']",not,the relief of symptom associ with recurr aphthous stomat may or may NEGATION correspond to clinic improv  and these two topic medic may affect sign and symptom of the lesion differ ,1,the relief of symptom associ with recurr aphthous stomat may or may not correspond to clinic improv  and these two topic medic may affect sign and symptom of the lesion differ ,the relief of symptom associ with recurr aphthous stomat may or may not correspond to clinic improv  and these two topic medic may affect_NEG sign_NEG and symptom of the lesion_NEG differ ,the relief of symptom associ with recurr aphthous stomat may or may NEGATION correspond to clinic improv  and these two topic medic may affect_NEG sign_NEG and symptom of the lesion_NEG differ 
262,1,"[u'haemorrhag', u'stroke']",not,migrain in woman of childbear age signific increas the risk of ischaem but NEGATION haemorrhag stroke ,0,migrain in woman of childbear age signific increas the risk of ischaem but not haemorrhag stroke ,migrain in woman of childbear age signific increas the risk of ischaem but not haemorrhag_NEG stroke_NEG ,migrain in woman of childbear age signific increas the risk of ischaem but NEGATION haemorrhag_NEG stroke_NEG 
717,1,"[u'like', u'result']",not,among adult with opioid depend maintain abstin with a stabl dose of sublingu buprenorphin  the use of buprenorphin implant compar with continu sublingu buprenorphin did NEGATION result in an inferior likelihood of remain a respond ,0,among adult with opioid depend maintain abstin with a stabl dose of sublingu buprenorphin  the use of buprenorphin implant compar with continu sublingu buprenorphin did not result in an inferior likelihood of remain a respond ,among adult with opioid depend maintain abstin with a stabl dose of sublingu buprenorphin  the use of buprenorphin implant compar with continu sublingu buprenorphin did not result_NEG in an inferior likelihood of remain a respond ,among adult with opioid depend maintain abstin with a stabl dose of sublingu buprenorphin  the use of buprenorphin implant compar with continu sublingu buprenorphin did NEGATION result_NEG in an inferior likelihood of remain a respond 
143,1,"[u'emot', u'problem', u'behavior']",not,child with behaviour emot problem who wet their bed need NEGATION first be treat for their behaviour emot problem ,1,child with behaviour emot problem who wet their bed need not first be treat for their behaviour emot problem ,child with behaviour emot_NEG problem_NEG who wet their bed need not first be treat for their behaviour emot_NEG problem_NEG ,child with behaviour emot_NEG problem_NEG who wet their bed need NEGATION first be treat for their behaviour emot_NEG problem_NEG 
326,1,[u'result'],not,earli frenotomi did NEGATION result in an object improv in breastfeed but wa associ with improv self efficaci ,2,earli frenotomi did not result in an object improv in breastfeed but wa associ with improv self efficaci ,earli frenotomi did not result_NEG in an object improv in breastfeed but wa associ with improv self efficaci ,earli frenotomi did NEGATION result_NEG in an object improv in breastfeed but wa associ with improv self efficaci 
575,1,[u'context'],not,this studi is use in that it compar two common method of prepar of the upper limb prior to tourniquet inflat and which have NEGATION previous been compar in this context ,1,this studi is use in that it compar two common method of prepar of the upper limb prior to tourniquet inflat and which have not previous been compar in this context ,this studi is use in that it compar two common method of prepar of the upper limb prior to tourniquet inflat and which have not previous been compar in this context_NEG ,this studi is use in that it compar two common method of prepar of the upper limb prior to tourniquet inflat and which have NEGATION previous been compar in this context_NEG 
794,1,[u'complic'],not,full robot gastrectomi with intracorpor robot sewn anastomosi for gastric cancer is safe and doe NEGATION increas the complic risk dure or after surgeri ,2,full robot gastrectomi with intracorpor robot sewn anastomosi for gastric cancer is safe and doe not increas the complic risk dure or after surgeri ,full robot gastrectomi with intracorpor robot sewn anastomosi for gastric cancer is safe and doe not increas the complic_NEG risk dure or after surgeri ,full robot gastrectomi with intracorpor robot sewn anastomosi for gastric cancer is safe and doe NEGATION increas the complic_NEG risk dure or after surgeri 
784,1,"[u'pain', u'no']",not,intraop dexmedetomidin doe NEGATION reduc postop opioid consumpt or improv pain score after multilevel deform correct spine surgeri ,0,intraop dexmedetomidin doe not reduc postop opioid consumpt or improv pain score after multilevel deform correct spine surgeri ,intraop dexmedetomidin doe not reduc postop opioid consumpt or improv pain_NEG score after multilevel deform correct spine surgeri ,intraop dexmedetomidin doe NEGATION reduc postop opioid consumpt or improv pain_NEG score after multilevel deform correct spine surgeri 
169,1,[u'result'],not,twice daili sd doxycyclin treatment signific reduc the number of inflammatori and noninflammatori lesion in patient with moder facial acn  wa well toler  had no detect antimicrobi effect on the skin flora  and did NEGATION result in ani increas in the number or sever of resist organ ,2,twice daili sd doxycyclin treatment signific reduc the number of inflammatori and noninflammatori lesion in patient with moder facial acn  wa well toler  had no detect antimicrobi effect on the skin flora  and did not result in ani increas in the number or sever of resist organ ,twice daili sd doxycyclin treatment signific reduc the number of inflammatori and noninflammatori lesion in patient with moder facial acn  wa well toler  had no detect antimicrobi effect on the skin flora  and did not result_NEG in ani increas in the number or sever of resist organ ,twice daili sd doxycyclin treatment signific reduc the number of inflammatori and noninflammatori lesion in patient with moder facial acn  wa well toler  had no detect antimicrobi effect on the skin flora  and did NEGATION result_NEG in ani increas in the number or sever of resist organ 
1381,1,[u'find'],not,regard success rate  attend time  or number of attempt for radial arteri cannul  we did NEGATION find ani benefit of ultrasound guidanc compar to palpat techniqu ,0,regard success rate  attend time  or number of attempt for radial arteri cannul  we did not find ani benefit of ultrasound guidanc compar to palpat techniqu ,regard success rate  attend time  or number of attempt for radial arteri cannul  we did not find_NEG ani benefit of ultrasound guidanc compar to palpat techniqu ,regard success rate  attend time  or number of attempt for radial arteri cannul  we did NEGATION find_NEG ani benefit of ultrasound guidanc compar to palpat techniqu 
622,1,"[u'not', u'signific']",not,passiv self ligat bracket and convent bracket can caus root resorpt  but the differ wa NEGATION signific ,1,passiv self ligat bracket and convent bracket can caus root resorpt  but the differ wa not signific ,passiv self ligat bracket and convent bracket can caus root resorpt  but the differ wa not_NEG signific_NEG ,passiv self ligat bracket and convent bracket can caus root resorpt  but the differ wa NEGATION signific_NEG 
167,1,"[u'over', u'weight']",not,when incorpor into a habitu diet  consumpt of test food with a decreas gl doe NEGATION amelior metabol risk marker in overweight subject ,0,when incorpor into a habitu diet  consumpt of test food with a decreas gl doe not amelior metabol risk marker in overweight subject ,when incorpor into a habitu diet  consumpt of test food with a decreas gl doe not amelior metabol risk marker in overweight subject ,when incorpor into a habitu diet  consumpt of test food with a decreas gl doe NEGATION amelior metabol risk marker in overweight subject 
13,1,[u'compromis'],not,the procedur of a delay cord clamp time of at least digit s is safe to use and doe NEGATION compromis the preterm infant in the initi post partum adapt phase ,1,the procedur of a delay cord clamp time of at least digit s is safe to use and doe not compromis the preterm infant in the initi post partum adapt phase ,the procedur of a delay cord clamp time of at least digit s is safe to use and doe not compromis_NEG the preterm infant in the initi post partum adapt phase ,the procedur of a delay cord clamp time of at least digit s is safe to use and doe NEGATION compromis_NEG the preterm infant in the initi post partum adapt phase 
1364,1,[u'affect'],not,conduct cbp in the earli stage of sever burn is safe and feasibl  which doe NEGATION obvious affect the vital sign  volum of fluid input and urin output  or platelet count of patient  addit  it could help protect the function of vital organ  elimin stress hyperglycemia  and reduc infect rate ,2,conduct cbp in the earli stage of sever burn is safe and feasibl  which doe not obvious affect the vital sign  volum of fluid input and urin output  or platelet count of patient  addit  it could help protect the function of vital organ  elimin stress hyperglycemia  and reduc infect rate ,conduct cbp in the earli stage of sever burn is safe and feasibl  which doe not obvious affect_NEG the vital sign  volum of fluid input and urin output  or platelet count of patient  addit  it could help protect the function of vital organ  elimin stress hyperglycemia  and reduc infect rate ,conduct cbp in the earli stage of sever burn is safe and feasibl  which doe NEGATION obvious affect_NEG the vital sign  volum of fluid input and urin output  or platelet count of patient  addit  it could help protect the function of vital organ  elimin stress hyperglycemia  and reduc infect rate 
771,1,"[u'tumor', u'aggrav', u'b-cell', u'larg', u'refractori', u'lymphoma', u'diffus']",not,compar with dice regimen combin with rituximab  gdp regimen combin with rituximab in treatment of elder patient with relaps and refractori diffus larg b cell lymphoma can effici reduc tumor load  prolong the diseas free surviv time  improv the long term clinic prognosi  and NEGATION aggrav the side effect of drug ,2,compar with dice regimen combin with rituximab  gdp regimen combin with rituximab in treatment of elder patient with relaps and refractori diffus larg b cell lymphoma can effici reduc tumor load  prolong the diseas free surviv time  improv the long term clinic prognosi  and not aggrav the side effect of drug ,compar with dice regimen combin with rituximab  gdp regimen combin with rituximab in treatment of elder patient with relaps and refractori_NEG diffus_NEG larg_NEG b cell lymphoma_NEG can effici reduc tumor_NEG load  prolong the diseas free surviv time  improv the long term clinic prognosi  and not aggrav_NEG the side effect of drug ,compar with dice regimen combin with rituximab  gdp regimen combin with rituximab in treatment of elder patient with relaps and refractori_NEG diffus_NEG larg_NEG b cell lymphoma_NEG can effici reduc tumor_NEG load  prolong the diseas free surviv time  improv the long term clinic prognosi  and NEGATION aggrav_NEG the side effect of drug 
1296,1,"[u'failur', u'shock', u'renal', u'septic']",not,among adult with septic shock  the earli use of vasopressin compar with norepinephrin did NEGATION improv the number of kidney failur free day ,0,among adult with septic shock  the earli use of vasopressin compar with norepinephrin did not improv the number of kidney failur free day ,among adult with septic_NEG shock_NEG  the earli use of vasopressin compar with norepinephrin did not improv the number of kidney failur_NEG free day ,among adult with septic_NEG shock_NEG  the earli use of vasopressin compar with norepinephrin did NEGATION improv the number of kidney failur_NEG free day 
321,1,[u'gravida'],not,the risk of matern bdigit infect in pregnanc could NEGATION be predict by a gravida occup  but it wa signific higher when the sourc of exposur wa her own child ,0,the risk of matern bdigit infect in pregnanc could not be predict by a gravida occup  but it wa signific higher when the sourc of exposur wa her own child ,the risk of matern bdigit infect in pregnanc could not be predict by a gravida_NEG occup  but it wa signific higher when the sourc of exposur wa her own child ,the risk of matern bdigit infect in pregnanc could NEGATION be predict by a gravida_NEG occup  but it wa signific higher when the sourc of exposur wa her own child 
611,1,"['to', u'abil', u'turn']",not,synergi observ in preclin phase did NEGATION turn into abil to improv clinic outcom ,0,synergi observ in preclin phase did not turn into abil to improv clinic outcom ,synergi observ in preclin phase did not turn_NEG into abil_NEG to_NEG improv clinic outcom ,synergi observ in preclin phase did NEGATION turn_NEG into abil_NEG to_NEG improv clinic outcom 
289,1,[u'result'],not,it is NEGATION known whether the favor result of pennsaid can be extrapol to other topic nsaid prepar ,1,it is not known whether the favor result of pennsaid can be extrapol to other topic nsaid prepar ,it is not known whether the favor result_NEG of pennsaid can be extrapol to other topic nsaid prepar ,it is NEGATION known whether the favor result_NEG of pennsaid can be extrapol to other topic nsaid prepar 
1258,1,[u'affect'],not,despit it shorter half life  letrozol seem to be a least a like  if NEGATION more  to advers affect cervic mucus ,0,despit it shorter half life  letrozol seem to be a least a like  if not more  to advers affect cervic mucus ,despit it shorter half life  letrozol seem to be a least a like  if not more  to advers affect_NEG cervic mucus ,despit it shorter half life  letrozol seem to be a least a like  if NEGATION more  to advers affect_NEG cervic mucus 
267,1,"[u'breastfeed', u'feed', u'problem', u'tie', u'breast', u'tongu']",not,the atlff wa NEGATION a use tool to identifi which tongu tie infant are at risk for breast feed problem ,0,the atlff wa not a use tool to identifi which tongu tie infant are at risk for breast feed problem ,the atlff wa not a use tool to identifi which tongu_NEG tie_NEG infant are at risk for breast_NEG feed_NEG problem_NEG ,the atlff wa NEGATION a use tool to identifi which tongu_NEG tie_NEG infant are at risk for breast_NEG feed_NEG problem_NEG 
145,1,[u'remiss'],not cause,our data have shown that budesonid inhal regular for digit month did NEGATION a signific improv in the bhr of adolesc with long term asthma remiss ,0,our data have shown that budesonid inhal regular for digit month did not caus a signific improv in the bhr of adolesc with long term asthma remiss ,our data have shown that budesonid inhal regular for digit month did not caus a signific improv in the bhr of adolesc with long term asthma remiss_NEG ,our data have shown that budesonid inhal regular for digit month did NEGATION a signific improv in the bhr of adolesc with long term asthma remiss_NEG 
60,1,[u'allergi'],not have,the major of infant with wheez have transient condit associ with diminish airway function at birth and do NEGATION increas risk of asthma or allergi later in life ,2,the major of infant with wheez have transient condit associ with diminish airway function at birth and do not have increas risk of asthma or allergi later in life ,the major of infant with wheez have transient condit associ with diminish airway function at birth and do not have increas risk of asthma or allergi_NEG later in life ,the major of infant with wheez have transient condit associ with diminish airway function at birth and do NEGATION increas risk of asthma or allergi_NEG later in life 
203,1,[u'decis'],unlikely,woman wish to use combin oc can be reassur that their decis is NEGATION to place them at higher risk of develop cancer ,1,woman wish to use combin oc can be reassur that their decis is unlik to place them at higher risk of develop cancer ,woman wish to use combin oc can be reassur that their decis_NEG is unlik to place them at higher risk of develop cancer ,woman wish to use combin oc can be reassur that their decis_NEG is NEGATION to place them at higher risk of develop cancer 
257,1,[u'fatal'],with no,in digit trial of patient with ami  n   digit   carvedilol signific reduc all caus mortal by digit   fix effect model  risk ratio digit digit  digit  confid interv digit digit to digit digit  p   digit digit  random effect model  risk ratio digit digit  digit  confid interv digit digit to digit digit  p   digit digit   NEGATION reduct in non fatal mi  risk ratio digit digit  digit  confid interv digit digit to digit digit  p   digit digit  ,2,in digit trial of patient with ami  n   digit   carvedilol signific reduc all caus mortal by digit   fix effect model  risk ratio digit digit  digit  confid interv digit digit to digit digit  p   digit digit  random effect model  risk ratio digit digit  digit  confid interv digit digit to digit digit  p   digit digit   with no reduct in non fatal mi  risk ratio digit digit  digit  confid interv digit digit to digit digit  p   digit digit  ,in digit trial of patient with ami  n   digit   carvedilol signific reduc all caus mortal by digit   fix effect model  risk ratio digit digit  digit  confid interv digit digit to digit digit  p   digit digit  random effect model  risk ratio digit digit  digit  confid interv digit digit to digit digit  p   digit digit   with no reduct in non fatal_NEG mi  risk ratio digit digit  digit  confid interv digit digit to digit digit  p   digit digit  ,in digit trial of patient with ami  n   digit   carvedilol signific reduc all caus mortal by digit   fix effect model  risk ratio digit digit  digit  confid interv digit digit to digit digit  p   digit digit  random effect model  risk ratio digit digit  digit  confid interv digit digit to digit digit  p   digit digit   NEGATION reduct in non fatal_NEG mi  risk ratio digit digit  digit  confid interv digit digit to digit digit  p   digit digit  
1273,1,"[u'advers', u'effect']",without,howev botulinum toxin type a  botox  show statist signific more increas in pressur pain threshold at digit week after inject NEGATION sever advers effect ,2,howev botulinum toxin type a  botox  show statist signific more increas in pressur pain threshold at digit week after inject without sever advers effect ,howev botulinum toxin type a  botox  show statist signific more increas in pressur pain threshold at digit week after inject without sever advers_NEG effect_NEG ,howev botulinum toxin type a  botox  show statist signific more increas in pressur pain threshold at digit week after inject NEGATION sever advers_NEG effect_NEG 
163,1,"[u'elev', u'segment', u'syndrom', 'st']",without,the antiplatelet agent clopidogrel ha benefici effect in patient with acut coronari syndrom NEGATION st segment elev ,2,the antiplatelet agent clopidogrel ha benefici effect in patient with acut coronari syndrom without st segment elev ,the antiplatelet agent clopidogrel ha benefici effect in patient with acut coronari syndrom_NEG without st_NEG segment_NEG elev_NEG ,the antiplatelet agent clopidogrel ha benefici effect in patient with acut coronari syndrom_NEG NEGATION st_NEG segment_NEG elev_NEG 
305,1,"[u'develop', u'histori']",without,among msm digit year of age and older with and NEGATION histori of anal condyloma  qhpv reduc the risk of anal condyloma develop ,2,among msm digit year of age and older with and without histori of anal condyloma  qhpv reduc the risk of anal condyloma develop ,among msm digit year of age and older with and without histori_NEG of anal condyloma  qhpv reduc the risk of anal condyloma develop_NEG ,among msm digit year of age and older with and NEGATION histori_NEG of anal condyloma  qhpv reduc the risk of anal condyloma develop_NEG 
328,1,"[u'cholesterol', u'ldl', u'pain', u'level']",without,red yeast rice and therapeut lifestyl chang decreas ldl cholesterol level NEGATION increas cpk or pain level and may be a treatment option for dyslipidem patient who cannot toler statin therapi ,2,red yeast rice and therapeut lifestyl chang decreas ldl cholesterol level without increas cpk or pain level and may be a treatment option for dyslipidem patient who cannot toler statin therapi ,red yeast rice and therapeut lifestyl chang decreas ldl_NEG cholesterol_NEG level_NEG without increas cpk or pain_NEG level_NEG and may be a treatment option for dyslipidem patient who cannot toler statin therapi ,red yeast rice and therapeut lifestyl chang decreas ldl_NEG cholesterol_NEG level_NEG NEGATION increas cpk or pain_NEG level_NEG and may be a treatment option for dyslipidem patient who cannot toler statin therapi 
346,1,[u'hyperlipidemia'],without,in this trial of appar healthi person NEGATION hyperlipidemia but with elev high sensit c reactiv protein level  rosuvastatin signific reduc the incid of major cardiovascular event ,2,in this trial of appar healthi person without hyperlipidemia but with elev high sensit c reactiv protein level  rosuvastatin signific reduc the incid of major cardiovascular event ,in this trial of appar healthi person without hyperlipidemia_NEG but with elev high sensit c reactiv protein level  rosuvastatin signific reduc the incid of major cardiovascular event ,in this trial of appar healthi person NEGATION hyperlipidemia_NEG but with elev high sensit c reactiv protein level  rosuvastatin signific reduc the incid of major cardiovascular event 
364,1,[u'ulcer'],without,the result of our studi show that one applic of silver nitrat can decreas the sever of pain in aphthous ulcer NEGATION signific shorten or prolong heal time ,2,the result of our studi show that one applic of silver nitrat can decreas the sever of pain in aphthous ulcer without signific shorten or prolong heal time ,the result of our studi show that one applic of silver nitrat can decreas the sever of pain in aphthous ulcer_NEG without signific shorten or prolong heal time ,the result of our studi show that one applic of silver nitrat can decreas the sever of pain in aphthous ulcer_NEG NEGATION signific shorten or prolong heal time 
428,0,[],,nns signific decreas some element of measur physiolog pain respons of the neonat dure circumcis ,2,nns signific decreas some element of measur physiolog pain respons of the neonat dure circumcis ,nns signific decreas some element of measur physiolog pain respons of the neonat dure circumcis ,nns signific decreas some element of measur physiolog pain respons of the neonat dure circumcis 
340,0,[],,h pylorus infect  nsaid use  and advanc age are independ risk factor for subsequ ulcer format ,0,h pylorus infect  nsaid use  and advanc age are independ risk factor for subsequ ulcer format ,h pylorus infect  nsaid use  and advanc age are independ risk factor for subsequ ulcer format ,h pylorus infect  nsaid use  and advanc age are independ risk factor for subsequ ulcer format 
177,0,[],,this studi confirm the benefici effect of caiapo on plasma glucos a well a cholesterol level in patient with type digit diabet ,2,this studi confirm the benefici effect of caiapo on plasma glucos a well a cholesterol level in patient with type digit diabet ,this studi confirm the benefici effect of caiapo on plasma glucos a well a cholesterol level in patient with type digit diabet ,this studi confirm the benefici effect of caiapo on plasma glucos a well a cholesterol level in patient with type digit diabet 
641,0,[],,the present studi show that combin of degarelix and antiandrogen could lead to favor psa reduct and immedi castrat level at an earlier phase ,2,the present studi show that combin of degarelix and antiandrogen could lead to favor psa reduct and immedi castrat level at an earlier phase ,the present studi show that combin of degarelix and antiandrogen could lead to favor psa reduct and immedi castrat level at an earlier phase ,the present studi show that combin of degarelix and antiandrogen could lead to favor psa reduct and immedi castrat level at an earlier phase 
81,0,[],,dietari glycem index is posit associ with homa ir and preval of the metabol syndrom ,1,dietari glycem index is posit associ with homa ir and preval of the metabol syndrom ,dietari glycem index is posit associ with homa ir and preval of the metabol syndrom ,dietari glycem index is posit associ with homa ir and preval of the metabol syndrom 
624,0,[],,futur rcts are plan to evalu the clinic efficaci of the digit intervent ,1,futur rcts are plan to evalu the clinic efficaci of the digit intervent ,futur rcts are plan to evalu the clinic efficaci of the digit intervent ,futur rcts are plan to evalu the clinic efficaci of the digit intervent 
