,0
197,frequenc
198,frequent
199,function
200,furthermor
201,futur
202,futur studi
203,gastric
204,glucos
205,glycem
206,goal
207,good
208,greater
209,group
210,guid
211,guidelin
212,ha
213,half
214,hazard
215,hazard ratio
216,hctz
217,health
218,heart
219,help
220,hf
221,hg
222,high
223,higher
224,hospit
225,howev
226,hypertens
227,identifi
228,il
229,il digit
230,immun
231,impact
232,impair
233,import
234,improv
235,improv clinic
236,incid
237,includ
238,incorpor
239,increas
240,increas risk
241,independ
242,indic
243,individu
244,infant
245,infarct
246,infect
247,inflammatori
248,inform
249,inhal
250,inhibitor
251,initi
252,inject
253,insuffici
254,intak
255,intens
256,interv
257,interv digit
258,intervent
259,invers
260,investig
261,larg
262,le
263,le effect
264,lead
265,lesion
266,level
267,life
268,lifestyl
269,like
270,limit
271,lipid
272,littl
273,local
274,locat
275,long
276,long term
277,losartan
278,loss
279,low
280,low dose
281,lower
282,lung
283,lung function
284,major
285,make
286,manag
287,mark
288,marker
289,matern
290,measur
291,mediat
292,medic
293,men
294,mental
295,metabol
296,metabol syndrom
297,method
298,mg
299,migrain
300,mild
301,mild moder
302,mm
303,mm hg
304,moder
305,modifi
306,month
307,mood
308,mortal
309,multipl
310,muscl
311,myocardi
312,myocardi infarct
313,need
314,need determin
315,negat
316,negation
317,negation differ
318,negation increas
319,new
320,newborn
321,non
322,normal
323,nsaid
324,number
325,obes
326,object
327,observ
328,obtain
329,of_neg
330,offer
331,older
332,ongo
333,onli
334,onset
335,oper
336,opioid
337,optim
338,option
339,oral
340,organ
341,outcom
342,overal
343,pain
344,pain_neg
345,parent
346,partial
347,particular
348,patient
349,patient digit
350,patient receiv
351,patient treat
352,patient undergo
353,pcos
354,pelvic
355,perform
356,persist
357,person
358,phase
359,physic
360,placebo
361,plasma
362,point
363,poor
364,popul
365,posit
366,possibl
367,post
368,post oper
369,postop
370,potenti
371,practic
372,predict
373,predictor
374,pregnanc
375,preliminari
376,prescript
377,prescript ace
378,presenc
379,present
380,present studi
381,pressur
382,prevent
383,previous
384,primari
385,primari care
386,problem
387,procedur
388,profil
389,prognosi
390,program
391,prolong
392,promis
393,proport
394,prospect
395,prospect studi
396,protect
397,protein
398,provid
399,qualiti
400,qualiti life
401,quit
402,quit smoke
403,radiat
404,random
405,rate
406,ratio
407,ratio digit
408,receiv
409,recent
410,recommend
411,recurr
412,reduc
413,reduc risk
414,reduct
415,regard
416,regimen
417,relaps
418,relat
419,relationship
420,relief
421,report
422,requir
423,research
424,research need
425,respons
426,result
427,review
428,risk
429,risk factor
430,role
431,routin
432,safe
433,safe effect
434,safeti
435,sampl
436,sampl size
437,score
438,screen
439,second
440,select
441,self
442,sensit
443,serum
444,set
445,sever
446,short
447,short term
448,shown
449,signific
450,signific decreas
451,signific higher
452,signific improv
453,signific increas
454,signific reduc
455,similar
456,simpl
457,size
458,small
459,smoke
460,smoke cessat
461,smoker
462,specif
463,ssri
464,standard
465,statin
466,statin therapi
467,strategi
468,stress
469,stroke
470,strong
471,studi
472,studi need
473,subject
474,substanti
475,success
476,suggest
477,superior
478,supplement
479,support
480,support use
481,surgeri
482,surgic
483,surviv
484,sustain
485,symptom
486,symptomat
487,syndrom
488,systol
489,systol bp
490,target
491,techniqu
492,term
493,term clinic
494,test
495,therapeut
496,therapi
497,therefor
498,time
499,toler
500,tool
501,topic
502,total
503,toxic
504,train
505,treat
506,treatment
507,treatment option
508,trial
509,trial need
510,trigger
511,troponin
512,type
513,ulcer
514,ulcer_neg
515,ultrasound
516,undergo
517,use
518,user
519,variabl
520,wa
521,wa associ
522,wa effect
523,wa negation
524,wa similar
525,week
526,weight
527,weight loss
528,wheez
529,woman
530,year
531,year age
