,0
193,effect
194,effect improv
195,effect reduc
196,effect treatment
197,efficaci
198,effici
199,elder
200,elev
201,enhanc
202,episod
203,equal
204,especi
205,evalu
206,event
207,evid
208,evid suggest
209,examin
210,exercis
211,exposur
212,express
213,facilit
214,factor
215,failur
216,fast
217,fat
218,fatigu
219,fatti
220,fatti acid
221,favor
222,featur
223,femal
224,follow
225,format
226,free
227,frenotomi
228,frequenc
229,frequent
230,function
231,futur
232,futur research
233,futur studi
234,glucos
235,glycem
236,goal
237,good
238,greater
239,group
240,guid
241,ha
242,hctz
243,health
244,heart
245,help
246,high
247,higher
248,hospit
249,hour
250,howev
251,hypertens
252,identifi
253,impact
254,impair
255,import
256,improv
257,improv clinic
258,improv qualiti
259,improv symptom
260,incid
261,includ
262,inclus
263,incorpor
264,increas
265,increas risk
266,independ
267,index
268,indic
269,individu
270,induc
271,infant
272,infect
273,inflammatori
274,influenc
275,inform
276,inhal
277,inhibitor
278,initi
279,inject
280,insuffici
281,insulin
282,insulin sensit
283,intak
284,intens
285,intens statin
286,intens statin therapi
287,interv
288,interv digit
289,interv digit digit
290,interv digit digit digit
291,intervent
292,invers
293,investig
294,involv
295,languag
296,larg
297,larger
298,lbp
299,ldl
300,le
301,lead
302,lesion
303,level
304,life
305,like
306,limit
307,lipid
308,local
309,locat
310,long
311,long term
312,losartan
313,loss
314,low
315,low dose
316,low pain
317,lower
318,lung
319,lung function
320,maintain
321,mainten
322,major
323,make
324,manag
325,mark
326,mass
327,matern
328,mean
329,measur
330,mediat
331,medic
332,melatonin
333,men
334,menopaus
335,menopaus vasomotor
336,menopaus vasomotor symptom
337,metabol
338,metabol syndrom
339,method
340,mg
341,mi
342,mild
343,mild moder
344,mm
345,moder
346,mogen
347,month
348,mortal
349,multipl
350,myocardi
351,need
352,non
353,normal
354,nsaid
355,number
356,obes
357,observ
358,obtain
359,occup
360,offer
361,older
362,omega
363,omega digit
364,omega digit fatti
365,omega digit fatti acid
366,ongo
367,onli
368,onset
369,oper
370,opioid
371,optim
372,oral
373,order
374,organ
375,outcom
376,overal
377,pain
378,palpat
379,partial
380,particular
381,patient
382,patient receiv
383,patient recent
384,patient treat
385,patient undergo
386,pcos
387,pelvic
388,peopl
389,percentag
390,period
391,persist
392,person
393,phase
394,physic
395,physic activ
396,place
397,placebo
398,plasma
399,plasma glucos
400,point
401,poor
402,popul
403,posit
404,possibl
405,post
406,postop
407,potenti
408,practic
409,predict
410,predictor
411,pregnanc
412,preliminari
413,presenc
414,present
415,pressur
416,prevent
417,previous
418,primari
419,primari care
420,problem
421,procedur
422,program
423,prolong
424,promis
425,proport
426,protect
427,protein
428,provid
429,qualiti
430,qualiti life
431,random
432,rapid
433,rate
434,ratio
435,ratio digit
436,ratio digit digit
437,ratio digit digit digit
438,real
439,reason
440,receiv
441,recent
442,recommend
443,recurr
444,reduc
445,reduc risk
446,reduct
447,regard
448,regimen
449,relaps
450,relat
451,relief
452,reliev
453,remiss
454,renal
455,report
456,requir
457,research
458,research need
459,resist
460,respons
461,result
462,result support
463,review
464,risk
465,risk death
466,risk factor
467,role
468,rosacea
469,safe
470,safe effect
471,safeti
472,sampl
473,score
474,screen
475,sd
476,select
477,self
478,sensit
479,serum
480,set
481,sever
482,short
483,short term
484,shown
485,signific
486,signific decreas
487,signific effect
488,signific improv
489,signific reduc
490,similar
491,simpl
492,size
493,sleep
494,small
495,smoke
496,smoke cessat
497,specif
498,ssri
499,standard
500,standard therapi
501,statin
502,statin therapi
503,status
504,stone
505,strategi
506,strength
507,strong
508,studi
509,studi demonstr
510,studi need
511,subgroup
512,subject
513,substanti
514,success
515,suggest
516,superior
517,supplement
518,support
519,support use
520,suppress
521,surgeri
522,surgic
523,surviv
524,sustain
525,symptom
526,syndrom
527,systemat
528,systemat review
529,systol
530,systol bp
531,target
532,techniqu
533,term
534,term clinic
535,test
536,therapeut
537,therapi
538,therefor
539,time
540,toler
541,tool
542,topic
543,train
544,treat
545,treatment
546,treatment chronic
547,treatment chronic lbp
548,treatment effect
549,treatment mild
550,trend
551,trial
552,trigger
553,type
554,type digit
555,type digit diabet
556,ulcer
557,ultrasound
558,undergo
559,understand
560,use
561,vaccin
562,variabl
563,vasomotor
564,vasomotor symptom
565,wa
566,wa associ
567,wa associ increas
568,wa effect
569,wa signific
570,wa similar
571,warrant
572,week
573,weight
574,weight loss
575,wheez
576,woman
577,xuezhikang
578,year
579,year age
