id,sen,lab,socal
550,Overnight closed-loop therapy resulted in better glucose control than sensor-augmented pump therapy in pregnant women with type 1 diabetes.,2,0
551,B- TURBT is a reasonable treatment modality in patients with NMIBC.,1,1
553,"When renal function is patf and if basal kalemia is >4.35 mmol/L, then clinicians should properly balance risk and benefit of eplerenone use and offer dietary advice.",1,2
555,SMT C1100 was well tolerated in pediatric DMD patients.,2,1
556,Further research is necessary to evaluate these preliminary findings in a larger study population with longer follow-up to determine whether the observed effects will result in improved clinical outcomes.,1,0.5
557,"Among patients with advanced melanoma, pembrolizumab administration was associated with an overall objective response rate of 33%, 12-month progression-free survival rate of 35%, and median overall survival of 23 months; grade 3 or 4 treatment-related AEs occurred in 14%.",1,0
558,"Penetration acupuncture at the acupoints of GV and bladder meridian on head can remarkablely improve the cognitive function of the patients with mild cognitive dsyn after stroke,and have some efficacy of relieving the bad mood such as depression.",2,0.657142857
560,"Hark improved the quality of transfer of information about simulated patients and was rated by users as more effective and efficient, and less distracting than pagers.",2,1.4
561,"Although EC is widely used as a method of quitting smoking, it has negative effects on the sinonasal symptoms and MCC.",0,-1
563,The results indicate that RKB evening meal has an anti-diabetic potential and that the increased release of satiety hormones and improvements of appetite sensation could be beneficial in preventing obesity.,2,1.333333333
565,Ultrasound guided lower limb peripheral nerve patf are an efficient technique of regional anesthesia in children.,2,1.5
566,The results show that platelet rich plasma provided better results from the perspective of pain control and effect duration.,2,0.333333333
567,This study shows for the first time the beneficial effect of memantine to prevent post-mastectomy pain development and to diminish chemotherapy-induced pain symptoms.,2,-1
568,"In patients with HHT, a bevacizumab nasal spray treatment of 3 administrations at 14-day intervals with doses of 25 mg, 50 mg, or 75 mg per spray, compared with a placebo, did not reduce monthly patf duration in the 3 consecutive months immediately after the end of treatment.",0,-1
570,"The sedative effects of dexmedetomidine in the ICU patients treated with ventilator bundle treatment are satisfactory, and it can shorten the duration of mechanical ventilation, extubation time and length of ICU stay, reduce the incidence of delirium.",2,1
573,Exercise and DHA supplementation acted synergistically by increasing plasma PGE2 with anti-inflammatory effects.,2,0
574,"Furthermore, it was concluded that hyoscine-N-butylbromide can increase the risk of drug-related complications.",0,-1.5
575,This study is useful in that it compares two common methods of preparation of the upper limb prior to tourniquet inflation and which have not previously been compared in this context.,1,0
577,"The low lactose milk powder could improve the therapeutic effectively and could reduce the duration of disease, and restored to normal diet for 2 weeks feeding time.",2,2.5
580,"Already after three months the effect of training with tailor-made notched music is observable in the most direct rating of tinnitus perception - the tinnitus loudness, while more global measures of tinnitus distress do not show relevant changes.",1,-0.5
581,"The efficacy mechanism is probably relevant to the positive regulation of blood glucose, lipid metabolism, fat-islet endocrinal axis and automatic nerve function.",1,1.75
582,Early screening of these dsyn and prompt tailored pharmacological and behavioral interventions can potentially reduce cocaine use and improve response to MMT.,2,1.333333333
583,"CTP could not only reflect the change of neop size, but also reflect vascular function of the tumor.",1,0
584,For the assessment of the specific effectiveness of the Baghira group training further and larger studies are required.,1,2
585,A combination of PS and continuous inhalation of budesonide aerosol has a better efficacy in the treatment of NRDS than a combination of PS and budesonide solution.,2,1.333333333
588,SIT decreases the expression of GM-CSF and IL-5 and reduces the inflammatory reaction in the tissue samples of recurrent nasal polyps.,2,-1
589,"ZHENG's gold hook fishing acupuncture could effectively improve the symptoms and sings of LDH, reduce the disability index and improve the quality of life, which is superior to EA.",2,1.75
590,ALIF shows a tendency to faster pain relief and return to activity with less intraoperative blood requirement in low grade isthmic spondylolisthesis.,2,0
591,There is a trend toward improved local neop control and progression-free survival with proton beam.,2,2
592,Our results support the use of anab correction to ensure accurate and careful application of DWI to neurosurgical practice.,1,1.5
596,HFpEF patients with RVD and patf RV-PA coupling have more advanced heart failure.,0,-1
597,"Furthermore, IL-35 should be incorporated into nomogram to generate a more accurate predictive model.",1,0
598,"Sodium bicarbonate combined with ulinastatin can improve the therapeutic effect and reduce patf in the treatment of acute phoxim pesticide poisoning, and have beneficial effects on the recovery of cholinesterase activity.",2,0.333333333
599,The present findings indicate that topiramate is effective and safe and thus reinforce previous data suggesting that topiramate is a potentially useful treatment for crack cocaine dependence.,2,0.5
601,Serum S100P protein and NSE could be changed by pre-operation injecting Ligustrazine at certain dose in elderly patients undergoing orthopedics operations.,1,0
603,The diagnosis of TRS by FISH was highly sensitive and enabled genetic confirmation of the pathological diagnoses.,1,-0.6
605,We investigated a heterogeneous group of medicated male and female patients.,1,0
607,Counties offering HPV vaccination to catch-up groups in schools reached the highest vaccine uptake.,1,1
608,"Among critically ill patients treated in ICUs in Brazil, implementation of a multifaceted quality improvement intervention with daily checklists, goal setting, and clinician prompting did not reduce in-hospital mortality.",0,0.666666667
610,Our findings indicate the general effectiveness and practicality of Web-based computer-tailored interventions in terms of increasing self-reported habit strength for physical activity and fruit and vegetable consumption.,1,2
611,Synergy observed in preclinical phase did not turn into ability to improve clinical outcomes.,0,0.666666667
612,"TCM clinical outcomes rating scale for HF based on patients' report had good reliability, validity and responsiveness, hence it could be used to assess clinical efficacy for HF patients.",2,1
614,Further follow-up is needed to assess long-term effects on health outcomes.,1,2
616,Computer-tailored feedback could be a cost-effective way to target alcohol use and binge drinking among adolescents.,2,0
617,The dynamics of this improvement differed both between cognitive domains and the time-points assessed.,1,2
618,"Opinions, interpretations, conclusions and recommendations are those of the author and are not necessarily endorsed by the Department of Defense.",1,2
619,There were no differences in post-operative lactate levels or clinical outcomes between patients receiving thiamine or placebo.,1,-1
620,Our findings suggest in vivo training should be included to facilitate proficiency with device-specific intubation techniques.,1,0
621,Further research is needed to determine if modified approaches to primary care management may be more effective.,1,1
622,"Passive self-ligating brackets and conventional brackets can cause root resorption, but the difference was not significant.",1,-2
624,Future RCTs are planned to evaluate the clinical efficacy of the 2 interventions.,1,0.5
625,Pre-interventional consideration of weight loss within 30 days and having weight loss as a prioritised goal during the health consultation were two important predictors for weight loss.,1,-0.2
626,"However, further studies involving biochemical and neurodevelopmental evaluation, with long-term follow-up in larger populations are needed to clearly compare both formulas.",1,0
628,"It is safe, convenient and practicable to perform budesonide treatment in middle meatus following ESS, which can significantly ease the post-operative discomfort of nose.",2,1
629,A program to motivate students to act as change agents of family's lifestyle was effective in decreasing weight and increasing physical activity of their mothers.,2,0.666666667
630,Rucaparib is well tolerated and results in high levels of PARP inhibition in surrogate tissues even at the lowest dose levels.,2,0.333333333
631,This clinical trial indicates that treatment with a novel custom-made OAm can reduce the severity of sleep-disordered breathing by significantly decreasing the AHI and VAS scores.,2,-1.733333333
632,"By using health literacy-focused strategies, the intervention was robust in achieving reductions for participants of varying health literacy status.",1,2.25
633,"In a nationally representative sample of couples, the OurRelationship program was effective in significantly improving both relationship and individual functioning, suggesting it can substantially increase the reach of current interventions through its low-cost, Web-based format.",2,1.35
634,"TEAS can efficiently prevent orthodontic toothache and oral dysfunction, which is superior to psychological intervention and similar to medication.",2,1.333333333
635,An immune response was observed after primary immunization with Ad26.ZEBOV; boosting by MVA-BN-Filo resulted in sustained elevation of specific immunity.,2,2
637,Better treatment agents for leprosy patients with reactions and nerve inpo are needed.,1,0
638,"The real-world data showed that daptomycin was effective and safe in the treatment of various Gram-positive infections, including those caused by resistant pathogens, across wide geographical regions.",2,0
639,"ZZYCR could improve the clinical efficacy of NASH patients, and its mechanism might be associated with inhibiting serum levels of FFA and TNF-alpha.",2,-1
640,"Among patients with 1 to 3 brain metastases, the use of SRS alone, compared with SRS combined with WBRT, resulted in less cognitive deterioration at 3 months.",2,-3
641,The present study showed that combination of degarelix and antiandrogen could lead to favorable PSA reduction and immediate castrate level at an earlier phase.,2,0.5
642,In this pilot study the combined interventions have shown to be effective in clinical primary care for the treatment of ODD and beneficial for the children and their families.,2,0.2
644,There is better patient-proxy agreement for the EQ-5D-3L compared with the ICECAP-O among individuals with mild VCI.,2,0.5
647,LIBERTY will investigate real-world PAD patients treated with endovascular revascularization with rigorous study guidelines and independent oversight of outcomes.,1,0
648,"At the recovery room, no significant efficacy difference between low-dose ketamine (0.25 mg/kg) and placebo in the prevention of post operative shivering in patients who underwent orthopedic surgery was observed.",0,-1.333333333
649,"In construction workers, integral nutrition intervention at the individual, group and environmental level had an impact in nutritional and biochemical indicators.",1,1
650,"Women in STARTS and SUPPORT reported postpartum improvements in mood and stress, and the experience of fewer depressive symptoms and less perceived stress was related to sustained abstinence.",1,0.2
651,"In this open-label, randomized trial involving patients with locally advanced pancreatic neop with dsyn controlled after 4 months of induction chemotherapy, there was no significant difference in overall survival with chemoradiotherapy compared with chemotherapy alone and there was no significant difference in overall survival with gemcitabine compared with gemcitabine plus erlotinib used as maintenance therapy.",0,-3
653,"Further engagement with the provider team, the patients/care takers and the health care financing agency to integrate SMBG in the care protocol for poor control dsyn should be considered.",1,1.2
654,"The effect of oblique insertion at anatomical points for sacroiliac joint injury is superior to that of conventional acupuncture, which can effectively relieve pain and improve the disfunction.",2,0.571428571
656,The newly-developed memory expansion screw takes advantage of rapid and slow maxillary expansion protocols.,1,0.5
657,"However, monitoring should be strengthened in order to prevented and control the adverse effects such as severe hypotension and severe bradycardia.",0,-1.466666667
658,"The success rate of TRV-CRP was higher than that of manipulative reduction,but manipulative reduction comfort degree was higher than TRV-CRP, the two methods can both improve the quality of life of patients with BPPV.",1,0.2
660,"However, there is still a need to investigate a larger series of cases.",1,0
661,"The pretreatment of 0.02 mg/kg cisatracurium given 5 minutes before succinylcholine injection could alleviate succinylcholine-induced fasciculations without influence on muscle relaxation effects or endotracheal intubating conditions, but did not affect the occurrence of myalgia, and might produce transient diplopia and difficulty opening eyes.",1,-1
663,In a fasted and glycogen-reduced state ingestion of a CHO solution during high-intensity exercise enhanced performance through stimulation of insulin-mediated glucose uptake.,2,1.666666667
664,"The significant improvement of clinical dsyn was shown by the end of the treatment course using both clinical assessments and HAMD-17, CGI-S, CGI-I and MMSE scores in both groups.",2,0.25
666,EA improves effectively the quality of life in MUI patients and the clinical efficacy is apparent.,2,0.833333333
667,"Education about opioid overdose and naloxone use in a community treatment program increases overdose knowledge, providing support for the idea of making OE a routine part of substance use dsyn treatment.",1,1
668,Additional modelling could explore the potential economic impact of the intervention on morbidity and mortality.,1,0
669,The administration of a 5 mg post-operative dose of tadalafil to patients that had undergone a bilateral NSRP was found to have a positive effect on the recovery and maintenance of erectile function.,2,3
671,Both tipranavir/ritonavir use and high baseline ALT levels were associated with an increased risk of ALT.,0,-1
672,Providing an educational video intervention about CATH may effectively decrease periprocedural mobd levels.,2,3
674,HE's fire needle therapy is effective on primary varicose veins.,2,1
675,This study showed no effects.,0,0
676,Scalp acupuncture could attenuate central nervous system lesion and improve POCD of elderly patients undergoing hip replacement.,2,0.666666667
678,"These preliminary findings were based on unplanned early termination of the trial, and a larger multicenter trial is needed to evaluate the potential benefit of this approach.",1,2
681,"A technically more robust system, combined with additional attractive games, likely results in higher patient motivation and better compliance.",2,2
682,"Group F and group E demonstrated similar fast motor recovery, but the former caused less intraoperative pain than the latter.",2,-2
683,NBI endoscopy plays an important role in the clinical diagnosis and accurate pathologic specimen acquisition of laryngeal carcinoma and can be a regular means to detect laryngeal lesions in clinical.,1,1
685,"However, new strategies to improve implementation of interventions should be created.",1,2
686,Patients treated with melatonin-containing emulsion experienced significantly reduced radiation dermatitis compared to patients receiving placebo.,2,1
688,Concerning the inguinal anab repair we found better postoperative pain scores and 24 hours reduction of the morphine consumption in group III (GA and TAP-D block) compared with group I (GA) and group II (GA + TAP block).,2,-1
689,The Tat Oyi vaccine in association with cART may provide an efficient means of controlling the HIV-infected cell reservoir.,2,0
691,"Compared with the traditional method, small incision puncture tracheostomy is less time consuming, with fewer traumas, and fewer intraoperative and postoperative complications.",2,-0.666666667
692,"However, such a micro-level approach must be understood from a broader societal perspective including gender relations on both the macro- and the meso-level.",1,0
693,"Administration of piroxicam after IUI is associated with decreased number of cycles, as well as increased pregnancy rate and pregnancy rate per cycle in IUI cycles.",2,0
694,Andrew's manoeuvre (four-hands CC) during the simulated DA-CPR significantly improved the performance of elderly female rescuers and helped them to achieve the recommended CC depth.,2,2.08
695,Trial and reference preparations are bioequivalent under fasting and dsyn state.,1,0
696,The patients treated with two cycles of intra-articular injections of HymovisÂ® have a progressive pain reduction that is maintained up to one year after the treatment start with improve of all the scores considered in this study.,1,0.666666667
697,An understanding of all of these mechanisms will be key in directing the advancement of products most suitable for combating HIV dsyn in women.,1,0.666666667
698,"Further research is needed to understand the clinical importance of RD, the risks and benefits of abaloparatide treatment, and the efficacy of abaloparatide vs other dsyn treatments.",1,1
702,The hierarchical strategy based on the combination of embryo cleavage patterns and timing parameters is effective for selecting the optimal embryo.,2,1.5
703,"Obtained ahnost the same satisfactory radiological outcomes after patella resurfacing and retention groups after total knee replacement allows us to conclude that, primary TKA without patella resurfacing is a good treatment option in patients with high grade osteoarthritis of the patellofemoral joint.",2,2
705,"Acupuncture therapy can effectively reduce the visceral fat content, being better than simple health education.",2,0
706,Follow-up for cognitive and physical problems that may not become evident until later in life is required.,1,-1
708,"Nasal endoscope negative pressure cleaning and sinupret drops can significantly reduce the long-term incidence of RNS, especially obviously reduce the incidence of moderate to severe RNS,which is a practical and effective method to treat RNS.",2,0
711,Our NPD is better than standard wound care procedures and cost-effective for management of PU.,2,0.4
712,Individual baseline thermography image features can be predictive of the response to lid warming therapy.,1,2
713,"In patients with active RA, tofacitinib, either in combination with methotrexate or as monotherapy, demonstrated rapid and sustained improvement in pain, physical functioning and health-related quality of life.",2,1
714,"131I-chTNT radioimmunotherapy with PMCT has a complementary effect in NSCLC, which can effectively improve therapeutic ratio and survival of patients effectively and has the same effect as that of post-operative adjuvant chemoradiation.",2,1.25
717,"Among adults with opioid mobd maintaining abstinence with a stable dose of sublingual buprenorphine, the use of buprenorphine implants compared with continued sublingual buprenorphine did not result in an inferior likelihood of remaining a responder.",0,-1
720,"SIPsmartER also yielded small, yet significant, improvements in BMI.",2,0.666666667
721,"Our data suggest that among patients with pretransplantation minimal residual disease, the probability of overall survival after receipt of a transplant from a cord-blood donor was at least as favorable as that after receipt of a transplant from an HLA-matched unrelated donor and was significantly higher than the probability after receipt of a transplant from an HLA-mismatched unrelated donor.",2,0.5
722,This is the first controlled study on the long term effect on professionals from implementing a development plan to enhance user participation in a mental health hospital.,1,1.5
723,"As a result, electro-acupuncture (EA) might be useful in controlling the ongoing epidemics in dsyn and T2DM.",2,0
724,Further studies are needed to assess long-term efficacy and safety.,1,2
725,Self-management education could effectively improve the symptoms of primary dysmenorrhea and quality of life.,2,0.5
727,Position-independent rebound tonometry (Icare PRO) accurately measured IOP in supine children's eyes postoperatively in the presence of intracameral air.,1,2.5
728,A valid comparison of outcomes between the control group and the intervention group involved in the study was provided in this trial.,1,1
729,"The present study provides evidence of higher MPV and lower vitamin D levels in children with PS as well as in children with OSAS, and supports the underlying inflammation, hence, highlighting the importance of an early diagnosis of this previously considered benign form of SDB.",1,1.333333333
730,"Contrast-enhanced ultrasound measurements of neop peak enhancement, rate of enhancement, and AUC1 were early predictors of time to patf in a cohort of children and adolescents with recurrent solid neop treated with antiangiogenic therapy.",1,1.4
731,"Given that most pregnant quitters will dsyn within 1 year postpartum and that postpartum smoking has negative health consequences for women and children, effective interventions that target postpartum mood and stress are needed.",1,-0.5
734,"Acupuncture method of ""Huoxue Sanfeng, Shugan Jianpi"", characterized with standard manipulation criteria, can effectively control morning blood pressure in patients with cerebral infraction combined with essential hypertension.",2,0
736,"Chinese massage therapy decreased pain and may improve extensor muscle strength in patients with knee OA, but does not appear to improve ROM.",2,-0.333333333
737,"However, over more than a decade of follow-up, nearly 14% of patients developed recurrence because of new non-PV triggers.",0,2
738,Further study is needed with a larger sample size.,1,0
739,"This study was done in part that registered with Japan Pharmaceutical Information Center, number JapicCTI-121850.",1,0
741,The findings from the present study emphasize the use of accelerometer analysis in clinical practice to make more accurate prognoses in addition to extract features of physical activity relevant to functional classification.,1,0.9
742,"Among critically ill patients with an ICU length of stay of 72 hours or longer, a conservative protocol for oxygen therapy vs conventional therapy resulted in lower ICU mortality.",2,-1.333333333
744,"Pain scores, opioid use, time to mobilisation, and length of stay were low in both Group Ropivacaine and Group Placebo.",0,-2
745,Longitudinal studies are needed to verify the long-term effects of this approach.,1,0
746,We demonstrated for the first time that AVP values could improve after successful treatment in STEMI patients.,2,3
747,"The study found a statistically significant value for function, pain and alignment in patients who underwent surgical treatment, compared with their status prior to surgery.",1,0.666666667
748,Biventricular patients with an ostial stenosis had a higher probability of a successful outcome.,2,3
750,"DDM reduces postoperative pain severity, hospital stay and disability period.",2,-2.5
754,"Scalp acupuncture treatment can improve the ACI patients' clinical symptoms, probably by reducing ACl induced inflammatory reactions.",2,-0.25
756,They were also associated with lower frequencies of postoperative vomiting.,2,0
757,The preoperative dexamethasone should be used as routine in patients undergoing laparoscopic cholecystectomy.,1,0
759,"SM could effectively promote and accelerate cleaning and mucosal epithelization of functional endoscopic anab surgery, and significantly promote mucosal ciliary structure and function recovery of ostium-meatus nasicomplex.",2,1.1
760,It can be postulated that AVP has strong correlations with the inflammatory markers.,1,2
761,Nebulized budesonide is an effective and safe alternative to SGCS in treating an exacerbation of COPD.,2,1
762,These effects could possibly be mediated through colonic fermentation.,1,0
763,The proposed treatment is not less effective compared with the McDonald's trial.,2,0
765,"However, marital status, religion, education, health insurance types and conventional regimen for diabetics were not associated with CAM use.",1,0.5
767,"It seems that in order to reduce the incidence of these injuries in female recruits, emphasis should be directed at other factors such as modifications in equipment weight, as well as modifications in the intensity of the training programs.",1,0.333333333
769,"By contrast, HIS+LV pacing yielded improvements, regardless of AVD setting.",2,2
770,"For multiple ligament injuries in the knee, staged repair and reconstruction can effectively restore knee joint stability and function.",2,0.75
771,"Compared with DICE regimen combined with rituximab, GDP regimen combined with rituximab in treatment of elderly patients with relapsed and refractory diffuse large B cell neop can efficiently reduce neop loading, prolong the disease-free survival time, improve the long-term clinical prognosis, and not aggravate the side effects of drugs.",2,0
772,"Concurrent using QQD with chemoradiotherapy for treating esophageal carcinoma patients could lower the incidence of radiation pneumonitis, attenuate the degree of radiation induced lung injury, improve clinical benefit rate, and elevate their QOL.",2,0.2
773,Planning constraints should keep rectal V38 below 2.0 cm(3).,1,0
774,"Compared with PB, TPM showed a better effect on epilepsy treatment with less adverse reactions which were worthy of clinical recommendation.",2,1.4
775,Our findings also highlight the need for replication studies in brain stimulation research.,1,1.5
776,COPD underdiagnosis is a major problem in primary care.,1,-0.2
777,"In addition, it can avoid possible side-effect of medication.",2,1
778,This is the first prospective study designed to assess paravertebral patf in the setting of prosthetic breast reconstruction.,1,0
782,"Our results suggest that following a stroke, the brain may be less responsive to non-invasive brain stimulation paradigms that aim to induce short-term reorganisation, and aerobic exercise was unable to induce or improve this response.",0,0
784,Intraoperative dexmedetomidine does not reduce postoperative opioid consumption or improve pain scores after multilevel deformity correction spine surgery.,0,0.333333333
786,"Targeted therapy combined with chemotherapy for the primary central nervous system neop can improve the patients' outcomes, reduce adverse effects, and improve the quality of life and survival rate.",2,0.666666667
787,Conjunctival TE rates can be effectively reduced by lid warming treatment in some MGD patients.,2,1
788,"Thus, tools for clinical assessment can be developed from empirical studies in various clinical settings.",1,-1.1
789,"Single-dose preoperative dexamethasone 8 mg 60-90 minute before induction of anesthesia improved clinical outcome in terms of significantly less nausea, vomiting, pain at first 6 hours and less inflammatory response after laparoscopic cholecystectomy compared to placebo.",2,-0.8
792,Using the hearing application test may decrease the demand for audiological services in underserved areas.,1,0
794,Full robotic gastrectomy with intracorporeal robot-sewn anastomosis for gastric neop is safe and does not increase the complication risk during or after surgery.,2,-0.666666667
795,"The findings provide preliminary evidence that this intervention may offer an efficient way of concurrently reducing CAS and mental health problems, such as sexual compulsivity and loneliness, for HIV+ gay and bisexual men.",2,-0.5
796,"In clinical work, we should reasonable combine the two methods,so as to improve the cure rate of RPPV.",1,0.333333333
1193,"While both lifestyle and metformin interventions used to prevent dsyn increase HDL-C, the mechanisms involved differ between the two treatments and may have consequences for future risk of cardiovascular disease.",0,0
1194,"JXT could improve heart function of CHD patients to different degrees, and its curative effect was better than that of routine Western medicine (Simvastatin Tablets) treatment.",2,0
1195,"For type Crowe II developmental patf of hip patients, 15Â° face-changing acetabular cups in THR could obtain higher actebular component coverage rate and satisfactory early clinical effects.",2,0.333333333
1196,"Among ambulatory adults aged 75 years or older, treating to an SBP target of less than 120 mm Hg compared with an SBP target of less than 140 mm Hg resulted in significantly lower rates of fatal and nonfatal major cardiovascular events and death from any cause.",2,-1.666666667
1197,"For future studies, because dyads often commented positively about the pleasure and support they received, it might also be valuable to measure quality of life outcomes such as relationship quality, pleasure, and self-esteem in dyadic focused interventions.",1,2.25
1198,"While the current intervention improved cognitive functions, the cause-effect relationship, if any, with the concomitant neuromuscular adaptations remains to be explored.",1,2
1199,"Several challenges were identified the most important of which was concerns with achieving adherence to DP in non-trial settings, requiring operational feasibility studies in routine health systems.",1,0.76
1200,"Overall, the DEAL Project was associated with more rapid improvement in both mobd symptoms and alcohol use outcomes in young people with these co-occurring dsyn relative to an attention-control condition.",1,0.666666667
1201,SSI after an open appendectomy remains an important problem.,1,-2.6
1202,Both MM and VDO were significantly improved by use of occlusal inpo pretreatment.,2,2.4
1203,"In order to determine a true incidence of SSI, it is necessary to improve the national nosocomial dsyn surveillance system.",1,2
1204,The clinical impact of prolonged IL-10 needs further evaluation.,1,-0.333333333
1205,Secure VCEs can be conducted using widely available hardware and software solutions.,1,2.5
1206,"For Chinese dsyn patients with stage 2 chronic kidney disease, therapy with A & As particles may provide effective anti-proteinuria treatment.",2,-1.333333333
1208,This would reduce the need for parents to motivate their children extrinsically and allow for clinical trials to investigate the effectiveness of the system.,1,0.5
1209,This is the first study to characterize the population PKs of sirolimus using a two-compartment model in healthy Chinese subjects and renal transplant patients.,1,3
1210,"Motivational deficits are significantly linked to the functional patf present in many people with major depression, just as they are in other psychiatric illnesses such as schizophrenia.",1,-0.233333333
1211,"T II A could reduce the incidence of OlPN, which might be associated with inhibiting the expression of CGRP and up-regulating NGF activities.",2,0
1213,"Consequently, Metformin and acupuncture combined therapy is more effective than Metformin only, proving that acupuncture is an insulin sensitizer and is able to improve insulin sensitivity possibly by reducing body weight and inflammation, while improving lipid metabolism and adipokines.",2,1.3
1214,Interpretation of batches of mammograms by qualified screening mammography readers using a different order vs the same order for the second reading resulted in no significant difference in rates of detection of breast cancer.,1,-3
1215,Anticholinergic medication use was associated with increased risk for recurrent falls.,2,-1
1216,"During operation, the degree of blood oxygenation in these groups decreased by 57% and 41%, respectively.",1,-1
1217,"Radiofrequency hyperthermia combined conformal radiotherapy is remarkably effective in treating patients with HCC, which could effectively reduce the inpo of radiotherapy to the liver, enhance the patient' s tolerability and improve the patients' short and long term survival.",2,0.766666667
1218,The authors suggest that the administration of 14% Plai cream is a useful alternative in the management of DOMS.,2,1
1219,"Therefore, supplemental 80% FiO2 during and 6 hours after open surgery for acute sigmoid diverticulitis, reducing post-operative SSI, should be considered part of ongoing quality improvement activities related to surgical care, accompanied by few risk to the patients and cgab associates cost.",1,-0.5
1220,We did not find any reduction of the pro-inflammatory response in our patients and therefore no changes in their perioperative course.,1,0
1224,Vitamin D dsyn was associated with higher dsyn activity and severity and presence of metabolic syndrome.,0,-3
1225,"Results of this study suggest that the impact of PA on depressive symptoms varies by genotype and sex, and that PA may mitigate somatic symptoms of mobd more than other symptoms.",2,0
1227,"Among patients recently hospitalized with heart failure and reduced LVEF, the use of liraglutide did not lead to greater posthospitalization clinical stability.",0,0
1228,The data show that investigators planning RCST's in surgery should be aware of the large amount of effort and significant financial resources needed to achieve patient recruitment goals.,1,2
1229,"However, IVR-based interventions may be the optimal choice for those with elevated LDL values at baseline.",2,2
1231,"In the conservative treatment, mifepristone can safely improve the hormone levels, reduce the thickness of the endometrium, alleviate symptoms.",2,0.6
